"","Overall Mean Flow","Jan. Low Flow","Feb. Low Flow","Mar. Low Flow","Apr. Low Flow","May Low Flow","Jun. Low Flow","Jul. Low Flow","Aug. Low Flow","Sep. Low Flow","Oct. Low Flow","Nov. Low Flow","Dec. Low Flow","Jan. Mean Flow","Feb. Mean Flow","Mar. Mean Flow","Apr. Mean Flow","May Mean Flow","Jun. Mean Flow","Jul. Mean Flow","Aug. Mean Flow","Sep. Mean Flow","Oct. Mean Flow","Nov. Mean Flow","Dec. Mean Flow","Min. 1 Day Min","Med. 1 Day Min.","Min. 3 Day Min","Med. 3 Day Min.","Min. 7 Day Min","Med. 7 Day Min.","Min. 30 Day Min","Med. 30 Day Min.","Min. 90 Day Min","Med. 90 Day Min.","7Q10","Year of 90-Day Low Flow","1% Non-Exceedance","5% Non-Exceedance","50% Non-Exceedance","95% Non-Exceedance","99% Non-Exceedance","Sept. 10% Non-Exceedance","Mean Baseflow","Jan. High Flow","Feb. High Flow","Mar. High Flow","Apr. High Flow","May High Flow","Jun. High Flow","Jul. High Flow","Aug. High Flow","Sep. High Flow","Oct. High Flow","Nov. High Flow","Dec. High Flow","Max. 1 Day Max","Med. 1 Day Max.","Max. 3 Day Max","Med. 3 Day Max.","Max. 7 Day Max","Med. 7 Day Max.","Max. 30 Day Max","Med. 30 Day Max.","Max. 90 Day Max","Med. 90 Day Max.","Drought Year Mean"
"USGS Gage",94.1,5.7,22.2,41,55,72.4,70,59,31.5,16.5,8.1,4.25,4.9,132,163,192,142,112,50.1,34.3,36.6,43.4,35.3,85.6,109,0.05,1.6,0.0633,1.63,0.139,1.89,0.368,7.08,2.02,16.6,0.334,1999,0.57,2.1,48,332,840,1.2,41.3,81.2,217,288,387,386,504,410,314,110,104,62.1,77,3320,1150,2350,795,1360,561,728,253,512,173,31.6955342465753
"Model",100,5.72,15.1,29.3,55.4,72.9,59.6,45.5,32,18.5,7.2,7.55,6.81,146,170,201,126,97.7,65,44,44.8,73.8,43.8,92.1,106,0,3.24,-8.19e-14,3.5,0.0708,4.19,0.676,8.55,5.49,21.2,0.436,2002,1.07,4.4,50.5,339,936,3.73,43.6,59.5,357,312,490,360,635,304,225,130,102,71.3,39.2,6370,1970,2700,1270,1840,737,671,293,472,185,55.2631726021754
"Pct. Error",6.27,0.351,-32,-28.5,0.727,0.691,-14.9,-22.9,1.59,12.1,-11.1,77.6,39,10.6,4.29,4.69,-11.3,-12.8,29.7,28.3,22.4,70,24.1,7.59,-2.75,-100,102,-100,115,-49.1,122,83.7,20.8,172,27.7,30.5,100,87.7,110,5.21,2.11,11.4,211,5.57,-26.7,64.5,8.33,26.6,-6.74,26,-25.9,-28.3,18.2,-1.92,14.8,-49.1,91.9,71.3,14.9,59.7,35.3,31.4,-7.83,15.8,-7.81,6.94,74.4
