"","Model"
"Min. 1 Day Min",0
"Med. 1 Day Min",8.92
"Min. 3 Day Min",-1.45e-15
"Med. 3 Day Min",9.41
"Min. 7 Day Min",0.0145
"Med. 7 Day Min",11.9
"Min. 30 Day Min",1.85
"Med. 30 Day Min",27.7
"Min. 90 Day Min",14
"Med. 90 Day Min",52.7
"7Q10",0.767
"Year of 90-Day Low Flow",2002
"Drought Year Mean",78.096007215369
"Mean Baseflow",127
