"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",12.7,2.18,-82.8
"Med. 1 Day Min",21,7.13,-66
"Min. 3 Day Min",12.8,2.23,-82.6
"Med. 3 Day Min",21.6,7.32,-66.1
"Min. 7 Day Min",13.1,2.35,-82.1
"Med. 7 Day Min",23.2,8.55,-63.1
"Min. 30 Day Min",15.5,4.27,-72.5
"Med. 30 Day Min",26.4,22.2,-15.9
"Min. 90 Day Min",20.8,14.2,-31.7
"Med. 90 Day Min",46.2,46.3,0.216
"7Q10",16.3,3.14,-80.7
"Year of 90-Day Low Flow",2002,1999,100
"Drought Year Mean",87.773698630137,113.436528485383,29.2
"Mean Baseflow",83,94.3,13.6
