"","Model"
"Jan. High Flow",101
"Feb. High Flow",337
"Mar. High Flow",287
"Apr. High Flow",485
"May High Flow",375
"Jun. High Flow",975
"Jul. High Flow",385
"Aug. High Flow",291
"Sep. High Flow",163
"Oct. High Flow",104
"Nov. High Flow",80.9
"Dec. High Flow",98.6
