"","Model"
"Min. 1 Day Min",0
"Med. 1 Day Min",9.23
"Min. 3 Day Min",4.9e-16
"Med. 3 Day Min",10.2
"Min. 7 Day Min",-5.53e-15
"Med. 7 Day Min",12.1
"Min. 30 Day Min",3.73
"Med. 30 Day Min",23.5
"Min. 90 Day Min",22.9
"Med. 90 Day Min",50.7
"7Q10",0.0015
"Year of 90-Day Low Flow",1999
"Drought Year Mean",92.5677153428324
"Mean Baseflow",68.1
