"Drought_Region","FIPS","fips_name"
"Big Sandy",51191,"Washington"
"Big Sandy",51167,"Russell"
"Big Sandy",51169,"Scott"
"Big Sandy",51173,"Smyth"
"Big Sandy",51520,"Bristol"
"Big Sandy",51185,"Tazewell"
"Big Sandy",51720,"Norton"
"Big Sandy",51105,"Lee"
"Big Sandy",51027,"Buchanan"
"Big Sandy",51051,"Dickenson"
"Big Sandy",51195,"Wise"
"Chowan",51025,"Brunswick"
"Chowan",51081,"Greensville"
"Chowan",51053,"Dinwiddie"
"Chowan",51620,"Franklin City"
"Chowan",51111,"Lunenburg"
"Chowan",51135,"Nottoway"
"Chowan",51149,"Prince George"
"Chowan",51175,"Southampton"
"Chowan",51181,"Surry"
"Chowan",51183,"Sussex"
"Chowan",51595,"Emporia"
"Eastern Shore",51131,"Northampton"
"Eastern Shore",51001,"Accomack"
"Middle James",51049,"Cumberland"
"Middle James",51075,"Goochland"
"Middle James",51085,"Hanover"
"Middle James",51087,"Henrico"
"Middle James",51009,"Amherst"
"Middle James",51570,"Colonial Heights"
"Middle James",51125,"Nelson"
"Middle James",51145,"Powhatan"
"Middle James",51147,"Prince Edward"
"Middle James",51041,"Chesterfield"
"Middle James",51670,"Hopewell"
"Middle James",51680,"Lynchburg"
"Middle James",51730,"Petersburg"
"Middle James",51760,"Richmond City"
"Middle James",51007,"Amelia"
"Middle James",51065,"Fluvanna"
"Middle James",51003,"Albemarle"
"Middle James",51011,"Appomattox"
"Middle James",51029,"Buckingham"
"Middle James",51540,"Charlottesville"
"New River",51021,"Bland"
"New River",51197,"Wythe"
"New River",51035,"Carroll"
"New River",51063,"Floyd"
"New River",51071,"Giles"
"New River",51121,"Montgomery"
"New River",51155,"Pulaski"
"New River",51640,"Galax"
"New River",51077,"Grayson"
"New River",51750,"Radford"
"Northern Coastal Plain",51057,"Essex"
"Northern Coastal Plain",51073,"Gloucester"
"Northern Coastal Plain",51099,"King George"
"Northern Coastal Plain",51103,"Lancaster"
"Northern Coastal Plain",51097,"King and Queen"
"Northern Coastal Plain",51101,"King William"
"Northern Coastal Plain",51133,"Northumberland"
"Northern Coastal Plain",51159,"Richmond County"
"Northern Coastal Plain",51115,"Mathews"
"Northern Coastal Plain",51119,"Middlesex"
"Northern Coastal Plain",51033,"Caroline"
"Northern Coastal Plain",51193,"Westmoreland"
"Northern Piedmont",51047,"Culpeper"
"Northern Piedmont",51109,"Louisa"
"Northern Piedmont",51113,"Madison"
"Northern Piedmont",51137,"Orange"
"Northern Piedmont",51157,"Rappahannock"
"Northern Piedmont",51177,"Spotsylvania"
"Northern Piedmont",51179,"Stafford"
"Northern Piedmont",51630,"Fredericksburg"
"Northern Piedmont",51079,"Greene"
"Northern Virginia",51013,"Arlington"
"Northern Virginia",51059,"Fairfax County"
"Northern Virginia",51061,"Fauquier"
"Northern Virginia",51610,"Falls Church"
"Northern Virginia",51153,"Prince William"
"Northern Virginia",51600,"Fairfax City"
"Northern Virginia",51107,"Loudoun"
"Northern Virginia",51683,"Manassas"
"Northern Virginia",51685,"Manassas Park"
"Northern Virginia",51510,"Alexandria"
"Roanoke",51031,"Campbell"
"Roanoke",51037,"Charlotte"
"Roanoke",51067,"Franklin County"
"Roanoke",51083,"Halifax"
"Roanoke",51590,"Danville"
"Roanoke",51089,"Henry"
"Roanoke",51161,"Roanoke County"
"Roanoke",51690,"Martinsville"
"Roanoke",51019,"Bedford County"
"Roanoke",51770,"Roanoke City"
"Roanoke",51775,"Salem"
"Roanoke",51143,"Pittsylvania"
"Roanoke",51117,"Mecklenburg"
"Roanoke",51515,"Bedford City"
"Roanoke",51141,"Patrick"
"Shenandoah",51820,"Waynesboro"
"Shenandoah",51840,"Winchester"
"Shenandoah",51171,"Shenandoah"
"Shenandoah",51015,"Augusta"
"Shenandoah",51043,"Clarke"
"Shenandoah",51165,"Rockingham"
"Shenandoah",51660,"Harrisonburg"
"Shenandoah",51187,"Warren"
"Shenandoah",51790,"Staunton"
"Shenandoah",51139,"Page"
"Shenandoah",51069,"Frederick"
"Southeast Virginia",51093,"Isle of Wight"
"Southeast Virginia",51550,"Chesapeake"
"Southeast Virginia",51800,"Suffolk"
"Southeast Virginia",51810,"Virginia Beach"
"Southeast Virginia",51710,"Norfolk"
"Southeast Virginia",51740,"Portsmouth"
"Upper James",51045,"Craig"
"Upper James",51163,"Rockbridge"
"Upper James",51678,"Lexington"
"Upper James",51530,"Buena Vista"
"Upper James",51005,"Alleghany"
"Upper James",51091,"Highland"
"Upper James",51580,"Covington"
"Upper James",51023,"Botetourt"
"Upper James",51017,"Bath"
"York James",51830,"Williamsburg"
"York James",51036,"Charles City"
"York James",51095,"James City"
"York James",51127,"New Kent"
"York James",51650,"Hampton"
"York James",51199,"York"
"York James",51735,"Poquoson"
"York James",51700,"Newport News"
