"region_featureid","region_name","locality_plan_featureid","locality_plan_name","locality_plan_ftype","FIPS Code","geom"
"173024","Spotsylvania County and City of Fredericksburg Regional Water Supply Plan","173367","Spotsylvania","wsp_plan_locality","51177","MULTIPOLYGON (((-77.618727 38.367835, -77.617148 38.366304, -77.612647 38.364298, -77.610213 38.358952, -77.603798 38.35107, -77.602565 38.348663, -77.60407 38.343836, -77.607007 38.338569, -77.606877 38.336724, -77.603194 38.333057, -77.601677 38.332547, -77.599736 38.332774, -77.59412 38.336478, -77.589275 38.341465, -77.587055 38.344805, -77.583939 38.347067, -77.571848 38.348061, -77.569612 38.347573, -77.566985 38.345347, -77.567034 38.344564, -77.569063 38.342096, -77.569973 38.33996, -77.568671 38.336222, -77.56787 38.335512, -77.565214 38.334689, -77.561232 38.334611, -77.558862 38.333963, -77.549937 38.328438, -77.544884 38.324362, -77.542954 38.317058, -77.540712 38.314014, -77.536343 38.310923, -77.530816 38.309689, -77.530618 38.309256, -77.53266 38.308504, -77.516334 38.306506, -77.516421 38.305614, -77.514883 38.305499, -77.518033 38.29757, -77.516832 38.295189, -77.516691 38.295166, -77.515952 38.295411, -77.514602 38.295858, -77.513349 38.296012, -77.51279 38.294745, -77.512484 38.294576, -77.509619 38.293227, -77.507543 38.292166, -77.511652 38.280242, -77.511263 38.280373, -77.509122 38.281039, -77.50384 38.28035, -77.498608 38.280963, -77.49659 38.28252, -77.494814 38.282475, -77.492889 38.278616, -77.492066 38.27365, -77.482807 38.273028, -77.482697 38.272978, -77.482835 38.272802, -77.477464 38.271348, -77.473388 38.270245, -77.471031 38.273272, -77.468838 38.276943, -77.465319 38.279029, -77.461063 38.277872, -77.457468 38.271292, -77.451325 38.275619, -77.454509 38.283729, -77.451688 38.284518, -77.451688 38.284456, -77.450585 38.28393, -77.447167 38.284595, -77.445747 38.283053, -77.443875 38.282494, -77.44074 38.282508, -77.438882 38.281579, -77.437977 38.280317, -77.436905 38.274904, -77.434311 38.271278, -77.432833 38.270166, -77.428687 38.269319, -77.424154 38.266673, -77.422337 38.262063, -77.420149 38.257987, -77.418448 38.256824, -77.405527 38.254102, -77.402038 38.25226, -77.395732 38.247896, -77.39085 38.245589, -77.387346 38.244973, -77.384542 38.245307, -77.381355 38.248836, -77.379931 38.249627, -77.377964 38.249962, -77.375692 38.249656, -77.370301 38.246576, -77.379693 38.238436, -77.403806 38.215595, -77.418121 38.202174, -77.482641 38.140737, -77.497982 38.126104, -77.504812 38.119592, -77.517913 38.107665, -77.532961 38.093456, -77.551872 38.075462, -77.563979 38.064063, -77.568187 38.0601, -77.573128 38.055447, -77.612424 38.018431, -77.631096 38.000137, -77.642147 37.99116, -77.642378 37.992418, -77.643042 37.992876, -77.648072 37.994067, -77.653797 37.993588, -77.657844 37.991873, -77.659318 37.992033, -77.660128 37.992857, -77.66082 37.997296, -77.662092 37.997685, -77.665417 37.996816, -77.667382 37.997411, -77.668018 37.998189, -77.668185 38.000521, -77.671798 38.004133, -77.680154 38.007314, -77.684491 38.008229, -77.687306 38.007982, -77.692471 38.007909, -77.69516 38.007131, -77.696432 38.00768, -77.699208 38.011546, -77.70077 38.012644, -77.705744 38.013444, -77.712048 38.013054, -77.713258 38.014842, -77.722212 38.023238, -77.725612 38.023138, -77.729712 38.021038, -77.730612 38.020838, -77.731312 38.021238, -77.731012 38.024838, -77.728312 38.026038, -77.728112 38.027138, -77.731013 38.031037, -77.732313 38.031637, -77.739813 38.032938, -77.740513 38.032038, -77.740913 38.029238, -77.744613 38.023938, -77.746213 38.023538, -77.74767 38.024295, -77.747613 38.032938, -77.745713 38.040937, -77.748213 38.042137, -77.748413 38.043137, -77.747613 38.047037, -77.745213 38.051137, -77.747813 38.052537, -77.749513 38.052837, -77.751413 38.051937, -77.751613 38.051337, -77.756113 38.048237, -77.762514 38.050537, -77.763314 38.051237, -77.764024 38.053137, -77.766114 38.053337, -77.770914 38.056337, -77.778514 38.058737, -77.784514 38.063337, -77.784914 38.065137, -77.782514 38.067537, -77.782914 38.069437, -77.786614 38.076237, -77.793715 38.078537, -77.806015 38.078437, -77.811121 38.079692, -77.812848 38.085253, -77.815215 38.086836, -77.816515 38.085536, -77.817615 38.085636, -77.819715 38.087836, -77.820315 38.089236, -77.819915 38.091336, -77.824315 38.095936, -77.832016 38.099836, -77.836216 38.101136, -77.836316 38.104436, -77.838216 38.106236, -77.845516 38.104336, -77.842916 38.101436, -77.843716 38.099936, -77.846216 38.098336, -77.847416 38.098736, -77.851516 38.104436, -77.854516 38.103936, -77.854816 38.102636, -77.854216 38.101736, -77.854416 38.100936, -77.856116 38.099836, -77.857216 38.100036, -77.858716 38.100836, -77.858216 38.103036, -77.859816 38.105236, -77.874717 38.107186, -77.885432 38.110694, -77.888117 38.112936, -77.889017 38.113136, -77.890417 38.112236, -77.902417 38.108136, -77.903017 38.108436, -77.903517 38.109736, -77.907717 38.111836, -77.910718 38.112236, -77.912518 38.111536, -77.913018 38.112136, -77.913718 38.115731, -77.914118 38.117136, -77.916918 38.118336, -77.920218 38.117036, -77.920418 38.116336, -77.921918 38.115236, -77.923718 38.114536, -77.925918 38.114936, -77.928318 38.114336, -77.929218 38.113636, -77.934218 38.113936, -77.935918 38.115136, -77.935918 38.115836, -77.939818 38.118136, -77.947019 38.120036, -77.953319 38.118536, -77.954818 38.117436, -77.938719 38.131908, -77.925786 38.14336, -77.924559 38.144465, -77.906909 38.160239, -77.889769 38.175635, -77.875039 38.188795, -77.834041 38.229548, -77.789368 38.267012, -77.785779 38.269951, -77.772239 38.282439, -77.748746 38.304498, -77.726799 38.32371, -77.726415 38.324808, -77.72608 38.325541, -77.721251 38.333754, -77.719712 38.335493, -77.716227 38.335723, -77.715066 38.336387, -77.715241 38.337188, -77.718233 38.339909, -77.718786 38.341442, -77.714955 38.348946, -77.71089 38.352721, -77.707985 38.352653, -77.704994 38.35533, -77.705547 38.356725, -77.706477 38.357388, -77.703572 38.360363, -77.702438 38.360569, -77.701247 38.360249, -77.69747 38.35707, -77.695 38.356475, -77.691195 38.358855, -77.688754 38.35945, -77.679051 38.360022, -77.678412 38.36064, -77.677395 38.36494, -77.672164 38.370339, -77.665683 38.370933, -77.656377 38.375476, -77.645769 38.378181, -77.641701 38.377494, -77.639207 38.375127, -77.637206 38.372206, -77.637614 38.371108, -77.640084 38.370492, -77.642003 38.369441, -77.644125 38.366765, -77.64462 38.365049, -77.644418 38.362075, -77.640933 38.359741, -77.63797 38.359031, -77.634163 38.359921, -77.628433 38.368199, -77.627096 38.368885, -77.62471 38.368493, -77.62423 38.368423, -77.618727 38.367835)))"
"173024","Spotsylvania County and City of Fredericksburg Regional Water Supply Plan","173368","Fredericksburg (city)","wsp_plan_locality","51630","MULTIPOLYGON (((-77.530618 38.309256, -77.528034 38.308912, -77.525972 38.310124, -77.526057 38.315866, -77.52832 38.318429, -77.527942 38.319916, -77.526519 38.321105, -77.523847 38.3225, -77.512257 38.325424, -77.503892 38.326381, -77.501767 38.326039, -77.499095 38.325483, -77.490212 38.322122, -77.488753 38.321371, -77.483639 38.317392, -77.480531 38.316684, -77.479108 38.317051, -77.478441 38.317463, -77.47728 38.319545, -77.475713 38.320736, -77.474871 38.321033, -77.473971 38.320988, -77.473012 38.320142, -77.471357 38.319737, -77.467349 38.318931, -77.464791 38.316338, -77.464279 38.315648, -77.463193 38.311405, -77.459462 38.307544, -77.457921 38.3046, -77.456782 38.303015, -77.456024 38.301486, -77.45466 38.299182, -77.450209 38.289787, -77.447167 38.284595, -77.450585 38.28393, -77.451688 38.284456, -77.451688 38.284518, -77.454509 38.283729, -77.451325 38.275619, -77.457468 38.271292, -77.461063 38.277872, -77.465319 38.279029, -77.468838 38.276943, -77.471031 38.273272, -77.473388 38.270245, -77.477464 38.271348, -77.482835 38.272802, -77.482697 38.272978, -77.482807 38.273028, -77.492066 38.27365, -77.492889 38.278616, -77.494814 38.282475, -77.49659 38.28252, -77.498608 38.280963, -77.50384 38.28035, -77.509122 38.281039, -77.511263 38.280373, -77.511652 38.280242, -77.507543 38.292166, -77.509619 38.293227, -77.512484 38.294576, -77.51279 38.294745, -77.513349 38.296012, -77.514602 38.295858, -77.515952 38.295411, -77.516691 38.295166, -77.516832 38.295189, -77.518033 38.29757, -77.514883 38.305499, -77.516421 38.305614, -77.516334 38.306506, -77.53266 38.308504, -77.530618 38.309256)))"
"173032","Northern Neck Regional WSP","173246","White Stone","wsp_plan_locality","","MULTIPOLYGON (((-76.3996 37.64093, -76.396379 37.647023, -76.397745 37.647811, -76.39399 37.65161, -76.391518 37.654114, -76.388768 37.653991, -76.388535 37.653991, -76.387799 37.653993, -76.378995 37.645058, -76.380161 37.642541, -76.38201 37.643314, -76.381348 37.642223, -76.3847 37.634944, -76.39313 37.636278, -76.397663 37.637505, -76.400682 37.639152, -76.3996 37.64093)))"
"173032","Northern Neck Regional WSP","173247","Colonial Beach","wsp_plan_locality","","MULTIPOLYGON (((-77.002074 38.259211, -77.001837 38.260736, -76.999636 38.262543, -76.998662 38.264388, -76.998968 38.265866, -76.997482 38.267571, -76.996250766607 38.273429853267, -76.995518 38.273275, -76.993412 38.273275, -76.993056 38.273275, -76.991953 38.273275, -76.990888363265 38.273688816399, -76.990255 38.273935, -76.983216 38.274648, -76.981372 38.274214, -76.972585727281 38.267069965262, -76.971105 38.265866, -76.96215 38.256486, -76.961573013325 38.254723537829, -76.961106 38.253297, -76.960819 38.250272, -76.957796 38.243183, -76.957017 38.240201, -76.956954 38.236823, -76.957807 38.234579, -76.95936 38.232768, -76.962375 38.230093, -76.964928161612 38.229756285771, -76.965849 38.231138, -76.965855 38.234095, -76.966622 38.234348, -76.967162 38.237246, -76.965926 38.239431, -76.968375 38.243999, -76.968763 38.249057, -76.969377 38.250226, -76.97176 38.251381, -76.972369 38.248464, -76.974765 38.249236, -76.975636 38.248233, -76.978639 38.251543, -76.980687 38.253899, -76.979813 38.254223, -76.978226 38.254411, -76.975924 38.255346, -76.975463 38.255537, -76.979357 38.260078, -76.982339 38.263524, -76.982855 38.263202, -76.986606 38.256817, -76.990166 38.25948, -76.992983 38.258782, -76.993674 38.2547, -76.99071 38.251752, -76.992425 38.250374, -76.999809 38.25044, -77.003887 38.255752, -77.002074 38.259211), (-76.991445 38.272514, -76.990817 38.268171, -76.990176 38.268698, -76.989281 38.266141, -76.986311 38.267074, -76.985749 38.267359, -76.990203 38.272148, -76.991148 38.272471, -76.991445 38.272514)))"
"173032","Northern Neck Regional WSP","173248","Kilmarnock","wsp_plan_locality","","MULTIPOLYGON (((-76.400311 37.731002, -76.399355 37.73091, -76.395761 37.732349, -76.391634 37.732788, -76.389726 37.732912, -76.388668 37.731181, -76.386161 37.730217, -76.380947 37.727194, -76.379102 37.727536, -76.375452 37.725564, -76.371043 37.72584, -76.367001 37.725381, -76.369999 37.721293, -76.370969 37.720436, -76.372922 37.717243, -76.373531 37.716127, -76.370167 37.71438, -76.368483 37.711753, -76.368699 37.711264, -76.365396 37.709325, -76.363669 37.708932, -76.364999 37.707485, -76.368141 37.709061, -76.36929 37.706646, -76.37048 37.707113, -76.372687 37.69988, -76.373189 37.698758, -76.373738 37.698822, -76.37373 37.696789, -76.375515 37.690544, -76.375721 37.690732, -76.376505 37.687967, -76.379238 37.687685, -76.383847 37.689096, -76.385818 37.691876, -76.388167 37.692521, -76.389454 37.694038, -76.38977 37.700176, -76.390506 37.701781, -76.391552 37.701133, -76.395025 37.705329, -76.397111 37.708661, -76.39773 37.710793, -76.397469 37.713058, -76.396707 37.715703, -76.39575 37.716742, -76.393882 37.717523, -76.394984 37.722337, -76.394499 37.723479, -76.397748 37.725599, -76.399476 37.727888, -76.400311 37.731002)))"
"173032","Northern Neck Regional WSP","173249","Montross","wsp_plan_locality","","MULTIPOLYGON (((-76.846195 38.096263, -76.84364 38.096181, -76.831942 38.098327, -76.815811 38.097162, -76.805717 38.09679, -76.801633 38.096044, -76.801743 38.09333, -76.803498 38.091322, -76.827806 38.089728, -76.837576 38.091347, -76.839821 38.091738, -76.846495 38.095813, -76.846195 38.096263)))"
"173032","Northern Neck Regional WSP","173250","Warsaw","wsp_plan_locality","","MULTIPOLYGON (((-76.795363 37.96601, -76.788002 37.965295, -76.786224 37.964909, -76.784534 37.967237, -76.780033 37.974437, -76.77874 37.973147, -76.775848 37.972131, -76.774635 37.970577, -76.772583 37.969387, -76.768997 37.970117, -76.7668 37.969632, -76.764984 37.968533, -76.759407 37.967408, -76.758511 37.96776, -76.757449 37.970252, -76.753812 37.970331, -76.750944 37.97271, -76.748582 37.969677, -76.746837 37.969228, -76.745743 37.969952, -76.744071 37.96932, -76.743013 37.968131, -76.746042 37.966007, -76.74545 37.965144, -76.73906 37.964294, -76.742208 37.954893, -76.737353 37.951917, -76.742579 37.951564, -76.743862 37.949749, -76.742204 37.949458, -76.742156 37.945873, -76.739163 37.9446, -76.740517 37.943848, -76.749304 37.945087, -76.74962 37.946937, -76.749587 37.947745, -76.751557 37.948016, -76.751577 37.949443, -76.754813 37.949288, -76.755378 37.952697, -76.757799 37.953364, -76.761856 37.948618, -76.766031 37.948002, -76.766181 37.949111, -76.770213 37.949882, -76.769046 37.954414, -76.773516 37.956145, -76.777161 37.958279, -76.776362 37.9596, -76.779416 37.960693, -76.783808 37.96238, -76.784811 37.961252, -76.787881 37.962537, -76.795267 37.96331, -76.795363 37.96601)))"
"173032","Northern Neck Regional WSP","173251","Irvington","wsp_plan_locality","","MULTIPOLYGON (((-76.43672 37.656729, -76.434963 37.659857, -76.434597 37.664912, -76.432227 37.666144, -76.431411 37.668685, -76.42876 37.669386, -76.427195 37.669591, -76.424408 37.672433, -76.415128 37.673125, -76.415223 37.670537, -76.405019 37.669188, -76.40523 37.66651, -76.406701 37.665082, -76.408862 37.662682, -76.408232 37.662104, -76.405372 37.660697, -76.406892 37.658401, -76.406841 37.656319, -76.411762 37.65432, -76.413365 37.651909, -76.419041 37.652441, -76.421383 37.654363, -76.42413 37.652975, -76.426915 37.653482, -76.428972 37.654392, -76.430513 37.653643, -76.435666 37.654022, -76.43672 37.656729)))"
"173032","Northern Neck Regional WSP","173402","Westmoreland","wsp_plan_locality","51193","MULTIPOLYGON (((-76.99767 38.278047, -76.990349318991 38.273987304746, -76.990255 38.273935, -76.989498989511 38.27395874501, -76.981512601302 38.274209583951, -76.981372 38.274214, -76.981003803372 38.273874420881, -76.977974637423 38.271080692136, -76.977125717742 38.270297753414, -76.973118554726 38.2666020409, -76.972325217146 38.265870364248, -76.972105816042 38.265668015752, -76.96215 38.256486, -76.961513914711 38.254542535921, -76.957796 38.243183, -76.957440666925 38.236768253566, -76.957417 38.236341, -76.957664650512 38.236028914401, -76.962375 38.230093, -76.965009618288 38.22974554316, -76.966553 38.229542, -76.967335 38.227185, -76.962311 38.214075, -76.956600089749 38.211423125204, -76.937134 38.202384, -76.933168794603 38.201867456075, -76.928684432941 38.201283282106, -76.917173077369 38.199783707635, -76.916922 38.199751, -76.916852407398 38.199720397539, -76.910832 38.197073, -76.902265089765 38.191082426606, -76.893369380037 38.184861933971, -76.88825194383 38.181283470283, -76.875642769488 38.17246626755, -76.875272 38.172207, -76.874847202124 38.172105321949, -76.87441864783 38.172002744776, -76.855454981308 38.167463671596, -76.840464329094 38.163875564446, -76.839206066737 38.163574391416, -76.838795 38.163476, -76.836930389929 38.163496930476, -76.826145848009 38.163617988277, -76.824274 38.163639, -76.823520921272 38.163792719111, -76.802968 38.167988, -76.79046361516 38.169030677824, -76.788445 38.169199, -76.78140477363 38.168545500048, -76.765864554053 38.167102999167, -76.760241 38.166581, -76.749685 38.162114, -76.743064 38.156988, -76.740278 38.152824, -76.738938 38.14651, -76.731251028937 38.142547298549, -76.721722 38.137635, -76.704048 38.149264, -76.701297 38.155718, -76.684892 38.156497, -76.665127 38.147638, -76.653143030663 38.147976308466, -76.643448 38.14825, -76.638983 38.151476, -76.629476 38.15305, -76.625897181298 38.152021985077, -76.620709682789 38.150531877215, -76.613939 38.148587, -76.604131 38.128771, -76.600937 38.110084, -76.596175666951 38.106705318983, -76.595702467324 38.106369532643, -76.592488581791 38.104088933086, -76.586368824414 38.099746303014, -76.581407950687 38.096226026294, -76.579497 38.09487, -76.578557293644 38.09440718001, -76.550564759297 38.080620421651, -76.543155 38.076971, -76.535919 38.069532, -76.535818243853 38.069331884105, -76.529090073102 38.055968789643, -76.522354 38.04259, -76.519534841889 38.034810735394, -76.525494 38.034974, -76.537078 38.032448, -76.540533 38.031331, -76.543817 38.028781, -76.547478 38.026758, -76.55305 38.025535, -76.560414 38.027324, -76.572583 38.026908, -76.573447 38.026409, -76.574647 38.024135, -76.574338 38.02311, -76.572048 38.023023, -76.571689 38.02256, -76.572856 38.018001, -76.573668 38.017575, -76.576093 38.017535, -76.578678 38.01579, -76.583076 38.011061, -76.584271 38.008996, -76.58717 38.00656, -76.587804 38.005393, -76.590917 38.003725, -76.594426 38.003248, -76.601367 38.002582, -76.603064 38.001889, -76.60634 38.00147, -76.614846 38.002074, -76.616061 38.001982, -76.617824 38.000538, -76.621466 37.993501, -76.628018 37.984485, -76.62799 37.982997, -76.630557 37.979242, -76.631926 37.977179, -76.632433 37.971414, -76.634533 37.968524, -76.634232 37.966607, -76.635808 37.96666, -76.639249 37.96554, -76.647949 37.968244, -76.648324 37.968656, -76.648237 37.970807, -76.650692 37.975614, -76.652108 37.978017, -76.654738 37.980215, -76.655605 37.981817, -76.664018 37.983924, -76.664689 37.983792, -76.671623 37.984887, -76.673127 37.984521, -76.676047 37.984521, -76.678823 37.983835, -76.681454 37.982577, -76.68183 37.981112, -76.683131 37.98272, -76.68604 37.983409, -76.688215 37.983352, -76.689255 37.984949, -76.700569 37.984544, -76.72269 37.996304, -76.728985 37.999192, -76.743586 37.998704, -76.745716 37.996704, -76.747971 37.995787, -76.748838 37.994917, -76.749679 37.995078, -76.758363 37.997967, -76.762034 38.000132, -76.76284 38.000132, -76.76602 38.001557, -76.76602 38.001923, -76.764659 38.004165, -76.761361 38.005606, -76.759884 38.007459, -76.758985 38.011121, -76.760227 38.013639, -76.760195 38.019154, -76.755996 38.025149, -76.755607 38.025614, -76.757959 38.031213, -76.758987 38.032028, -76.763311 38.033161, -76.765394 38.033254, -76.7682 38.034606, -76.769414 38.037375, -76.770889 38.03916, -76.77708 38.042848, -76.781767 38.046076, -76.78495 38.048846, -76.789579 38.051822, -76.790961 38.05194, -76.793746 38.053631, -76.797249 38.058368, -76.80023 38.059376, -76.804166 38.060291, -76.806974 38.059697, -76.807987 38.058758, -76.809058 38.058484, -76.814361 38.058943, -76.814424 38.060283, -76.816073 38.063221, -76.81815 38.064373, -76.821842 38.064577, -76.822918 38.065225, -76.85151 38.091224, -76.857104 38.098363, -76.862457 38.10204, -76.864407 38.104264, -76.866002 38.10765, -76.866902 38.110167, -76.866586 38.113028, -76.868646 38.117283, -76.872938 38.122156, -76.876937 38.124447, -76.89039 38.114596, -76.901887 38.106012, -76.903963 38.105269, -76.905781 38.104193, -76.909642 38.099324, -76.912056 38.09718, -76.914488 38.097364, -76.916777 38.095098, -76.921884 38.093077, -76.924335 38.089904, -76.936698 38.084664, -76.93528 38.080728, -76.935337 38.080545, -76.936959 38.077065, -76.984019 38.087495, -76.989287 38.091627, -76.990612 38.094283, -76.990472 38.096089, -76.988094 38.100337, -76.987733 38.102353, -76.988989 38.106058, -76.989588 38.106826, -76.995318 38.109553, -76.999693 38.1103, -77.002693 38.110132, -77.004793 38.108332, -77.009993 38.098432, -77.011793 38.096032, -77.014693 38.093532, -77.028994 38.090733, -77.030994 38.090933, -77.032394 38.091733, -77.033694 38.093232, -77.034194 38.096832, -77.033994 38.100232, -77.035094 38.102032, -77.037394 38.103932, -77.044294 38.107732, -77.049695 38.109832, -77.051195 38.111032, -77.051995 38.112632, -77.052195 38.114632, -77.050595 38.120832, -77.051945 38.125132, -77.052895 38.133432, -77.051795 38.139031, -77.052195 38.144331, -77.057195 38.157331, -77.058495 38.159531, -77.061695 38.161631, -77.061498 38.162476, -77.063934 38.164764, -77.06434 38.165703, -77.063789 38.171698, -77.062195 38.17378, -77.056716 38.17593, -77.048453 38.182406, -77.048384 38.184709, -77.048291 38.186607, -77.04743 38.204263, -77.046589 38.221531, -77.044796 38.260301, -77.043831 38.260462, -77.042663 38.261042, -77.038774 38.260835, -77.036656 38.258891, -77.034566 38.258639, -77.034168 38.259016, -77.034391 38.260766, -77.033664 38.264358, -77.029136 38.266234, -77.029183 38.266452, -77.028995 38.267828, -77.028195 38.268528, -77.020695 38.269728, -77.013895 38.270028, -77.007695 38.274628, -76.999695 38.276636, -76.99767 38.278047)))"
"173032","Northern Neck Regional WSP","173403","Lancaster","wsp_plan_locality","51103","MULTIPOLYGON (((-76.489312 37.83913, -76.485774 37.838139, -76.483293 37.838415, -76.477693 37.837502, -76.476249 37.835419, -76.472766 37.829969, -76.472603 37.829723, -76.468134 37.822559, -76.46389 37.820843, -76.462303 37.820271, -76.451137 37.821097, -76.449435 37.821738, -76.448597 37.821802, -76.440231 37.822448, -76.433362 37.825332, -76.430801 37.8281, -76.429611 37.828925, -76.419137 37.822927, -76.418964 37.820043, -76.420235 37.813955, -76.420236 37.810041, -76.419804 37.806951, -76.417929 37.804181, -76.414754 37.800923, -76.413343 37.798985, -76.413489 37.794567, -76.412163 37.791637, -76.408328 37.78747, -76.402705 37.785363, -76.401323 37.780327, -76.390826 37.778583, -76.385894 37.779703, -76.381511 37.779402, -76.374669 37.776995, -76.368165 37.773546, -76.366775 37.768774, -76.364363 37.766565, -76.364093 37.765814, -76.365104 37.764546, -76.367208 37.762714, -76.369022 37.759212, -76.36905 37.758067, -76.367663 37.755527, -76.365067 37.753491, -76.363207 37.751438, -76.363329 37.748672, -76.364057 37.747896, -76.364171 37.74693, -76.363674 37.744342, -76.362872 37.743424, -76.361803 37.740322, -76.36167 37.735627, -76.364294 37.726958, -76.365625 37.724914, -76.369999 37.721293, -76.370716 37.721098, -76.373053 37.717324, -76.373775 37.716247, -76.376116 37.713498, -76.376721 37.712908, -76.375253 37.710916, -76.374518 37.71089, -76.373711 37.711624, -76.368704 37.711256, -76.359965 37.707236, -76.349753 37.701075, -76.349434 37.69514, -76.343208 37.690118, -76.331231 37.684845, -76.319977851748 37.680856831971, -76.320207514466 37.680672639948, -76.324808 37.676983, -76.325243428254 37.676376304454, -76.332605569726 37.666118406859, -76.339892 37.655966, -76.332562 37.645817, -76.308753354213 37.64233939414, -76.307666616544 37.642180659984, -76.306464 37.642005, -76.304805841115 37.641301859689, -76.292534 37.636098, -76.287959 37.631771, -76.279612018315 37.618487610208, -76.279447 37.618225, -76.279466442393 37.618129999791, -76.28037 37.613715, -76.307209903144 37.621334423969, -76.309174 37.621892, -76.320771093643 37.619377325196, -76.335440839975 37.616196386711, -76.354893231135 37.611978395597, -76.356705338877 37.611585464245, -76.36232 37.610368, -76.368539871714 37.61587569541, -76.381106 37.627003, -76.388643816566 37.629802303135, -76.390054 37.630326, -76.390500037845 37.630243904165, -76.39853265713 37.628765454307, -76.399236 37.628636, -76.443095321895 37.6522615255, -76.443254 37.652347, -76.472392 37.665772, -76.477041780326 37.665888082155, -76.489576 37.666201, -76.491799 37.663614, -76.497564 37.647056, -76.501522 37.643762, -76.510187 37.642324, -76.536548 37.663574, -76.537698 37.66893, -76.535302 37.687516, -76.537228 37.698892, -76.54005 37.704432, -76.560476 37.727827, -76.576387 37.757493, -76.584289 37.76889, -76.586971726557 37.770002322618, -76.593835 37.772848, -76.595939 37.77168, -76.602024 37.772731, -76.615351 37.780759, -76.642273172649 37.792315631152, -76.631064 37.798343, -76.629521 37.799928, -76.630463 37.803484, -76.628861 37.804939, -76.624677 37.806448, -76.620667 37.805317, -76.617899 37.805659, -76.612692 37.80836, -76.608565 37.805474, -76.605915 37.806929, -76.605278 37.808956, -76.597638 37.813517, -76.596671 37.813598, -76.595374 37.812564, -76.595333 37.811822, -76.596159 37.810909, -76.595755 37.81036, -76.59489 37.810543, -76.592843 37.812741, -76.593189 37.81416, -76.591344 37.815442, -76.5884 37.814275, -76.586866 37.812191, -76.583323 37.816199, -76.581593 37.818374, -76.581449 37.820159, -76.584364 37.821944, -76.582605 37.82611, -76.57874 37.830687, -76.577482 37.831542, -76.577182 37.831603, -76.570886 37.831933, -76.56815 37.834648, -76.564745 37.837304, -76.545784 37.835358, -76.543849 37.835557, -76.531267 37.837026, -76.526361 37.836452, -76.52209 37.834757, -76.517241 37.834691, -76.513489 37.837602, -76.510766 37.838819, -76.508004 37.838826, -76.508036 37.838679, -76.508124 37.833264, -76.50238 37.834864, -76.500108 37.836625, -76.498186 37.83921, -76.494494 37.841272, -76.489312 37.83913)))"
