Trib,Lat,Long,Parent,NormalStage,MaximumStage,AvailableStage,StageWithFreeboard
Lake Anne,38.964906,-77.333083,Lake Fairfax,15.4182,28.2814,12.86,10.8632
Lake Audubon,38.932255,-77.326361,Difficult Run,15.8461,45.6,29.75,27.7539
Lake Fairfax,38.964665,-77.317513,Lake Anne,10.6285,24.45,13.82,11.8215
