"","Model"
"Min. 1 Day Min",80
"Med. 1 Day Min",1180
"Min. 3 Day Min",80
"Med. 3 Day Min",1210
"Min. 7 Day Min",80
"Med. 7 Day Min",1340
"Min. 30 Day Min",176
"Med. 30 Day Min",2040
"Min. 90 Day Min",967
"Med. 90 Day Min",3340
"7Q10",242
"Year of 90-Day Low Flow",2002
"Drought Year Mean",2141.9236383406
"Mean Baseflow",6650
