"","Model"
"Jan. Low Flow",2130
"Feb. Low Flow",2870
"Mar. Low Flow",5000
"Apr. Low Flow",5230
"May Low Flow",7850
"Jun. Low Flow",7190
"Jul. Low Flow",5470
"Aug. Low Flow",3860
"Sep. Low Flow",3120
"Oct. Low Flow",3070
"Nov. Low Flow",3260
"Dec. Low Flow",2300
