"","Model"
"Jan. Low Flow",18.4
"Feb. Low Flow",31.4
"Mar. Low Flow",60.8
"Apr. Low Flow",80.2
"May Low Flow",125
"Jun. Low Flow",119
"Jul. Low Flow",90.7
"Aug. Low Flow",55.3
"Sep. Low Flow",39.8
"Oct. Low Flow",24.1
"Nov. Low Flow",22.6
"Dec. Low Flow",18.4
