"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",6.95,3.96,-43
"Med. 1 Day Min",22,14.1,-35.9
"Min. 3 Day Min",7.19,3.98,-44.6
"Med. 3 Day Min",22,14.4,-34.5
"Min. 7 Day Min",7.52,4.1,-45.5
"Med. 7 Day Min",23.3,15.1,-35.2
"Min. 30 Day Min",12.2,5.47,-55.2
"Med. 30 Day Min",29.9,20.2,-32.4
"Min. 90 Day Min",15.6,14.6,-6.41
"Med. 90 Day Min",42.4,32,-24.5
"7Q10",13.3,7.81,-41.3
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",38.7643835616438,37.2240166442802,-3.97
"Mean Baseflow",64.9,71.2,9.71
