"","USGS Gage","Model","Pct. Error"
"1% Non-Exceedance",12.9,0.757,-94.1
"5% Non-Exceedance",16,3.23,-79.8
"50% Non-Exceedance",72,98.8,37.2
"95% Non-Exceedance",621,532,-14.3
"99% Non-Exceedance",1770,1720,-2.82
"Sept. 10% Non-Exceedance",15,1.38,-90.8
