"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0.25,0,-100
"Med. 1 Day Min",2.9,0.577,-80.1
"Min. 3 Day Min",0.267,-4.46e-14,-100
"Med. 3 Day Min",3.2,0.877,-72.6
"Min. 7 Day Min",0.359,-2.14e-15,-100
"Med. 7 Day Min",3.44,1.82,-47.1
"Min. 30 Day Min",0.985,0.835,-15.2
"Med. 30 Day Min",4.82,4.35,-9.75
"Min. 90 Day Min",1.49,2.55,71.1
"Med. 90 Day Min",7.09,9.67,36.4
"7Q10",1.29,0.0000317,-100
"Year of 90-Day Low Flow",2002,2002,0
"Drought Year Mean",3.94701369863014,7.84921635118904,98.9
"Mean Baseflow",14.5,18.1,24.8
