"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0.31,1.01,226
"Med. 1 Day Min",5.6,4.18,-25.4
"Min. 3 Day Min",0.443,1.02,130
"Med. 3 Day Min",5.97,4.75,-20.4
"Min. 7 Day Min",0.661,1.05,58.9
"Med. 7 Day Min",6.39,5.36,-16.1
"Min. 30 Day Min",1.56,1.77,13.5
"Med. 30 Day Min",9.54,9.34,-2.1
"Min. 90 Day Min",4.97,6.87,38.2
"Med. 90 Day Min",22.5,26,15.6
"7Q10",2.16,1.41,-34.7
"Year of 90-Day Low Flow",2002,1999,100
"Drought Year Mean",29.2552602739726,25.2252509258911,-13.8
"Mean Baseflow",50.1,43.6,-13
