"","Model"
"Jan. Low Flow",23.7
"Feb. Low Flow",35.5
"Mar. Low Flow",57.2
"Apr. Low Flow",55.6
"May Low Flow",77.6
"Jun. Low Flow",112
"Jul. Low Flow",84.4
"Aug. Low Flow",61.2
"Sep. Low Flow",48
"Oct. Low Flow",35.1
"Nov. Low Flow",32.2
"Dec. Low Flow",28.6
