"","RIVSEG","NA"
"1","PM0_4640_4820",1
"2","PM1_3120_3400",1
"3","PM1_3450_3400",1
"4","PM1_3510_4000",1
"5","PM1_3710_4040",1
"6","PM1_4000_4290",1
"7","PM1_4250_4500",1
"8","PM1_4430_4200",1
"9","PM1_4500_4580",1
"10","PM2_2860_3040",1
"11","PM2_3400_3340",2
"12","PM2_4860_4670",1
"13","PM3_3040_3340",1
"14","PM3_4660_4620",1
"15","PM3_4670_4660",1
"16","PM4_3340_3341",3
"17","PM4_3341_4040",3
"18","PM4_4040_4410",4
"19","PM7_4150_4290",34
"20","PM7_4200_4410",36
"21","PM7_4290_4200",35
"22","PM7_4410_4620",40
"23","PM7_4580_4820",42
"24","PM7_4620_4580",41
"25","PM7_4820_0001",43
"26","PS0_6150_6160",1
"27","PS0_6160_6161",1
"28","PS1_4790_4830",1
"29","PS1_4830_5080",1
"30","PS2_5550_5560",1
"31","PS2_5560_5100",1
"32","PS2_6420_6360",1
"33","PS2_6490_6420",1
"34","PS2_6660_6490",1
"35","PS2_6730_6660",1
"36","PS3_5100_5080",1
"37","PS3_5990_6161",1
"38","PS3_6161_6280",2
"39","PS3_6280_6230",2
"40","PS3_6460_6230",1
"41","PS4_5080_4380",2
"42","PS4_5840_5240",4
"43","PS4_6230_6360",3
"44","PS4_6360_5840",4
"45","PS5_4370_4150",6
"46","PS5_4380_4370",6
"47","PS5_5200_4380",4
"48","PS5_5240_5200",4
"49","PU0_3000_3090",1
"50","PU0_3601_3602",1
"51","PU0_3611_3530",1
"52","PU0_3751_3752",1
"53","PU0_3871_3690",1
"54","PU0_5620_5380",1
"55","PU0_6080_5620",1
"56","PU1_3030_3440",1
"57","PU1_3100_3690",1
"58","PU1_3170_3580",1
"59","PU1_3580_3780",1
"60","PU1_3850_4190",1
"61","PU1_3940_3970",1
"62","PU1_4190_4300",1
"63","PU1_4300_4440",1
"64","PU1_4760_4450",1
"65","PU1_4840_4760",1
"66","PU1_5380_5050",2
"67","PU1_5520_5210",1
"68","PU1_5820_5380",1
"69","PU2_2790_3290",1
"70","PU2_2840_3080",1
"71","PU2_3080_3640",1
"72","PU2_3090_4050",1
"73","PU2_3140_3680",1
"74","PU2_3180_3370",1
"75","PU2_3370_4020",1
"76","PU2_3630_3590",1
"77","PU2_3770_3600",1
"78","PU2_3900_3750",1
"79","PU2_4050_4180",1
"80","PU2_4160_3930",1
"81","PU2_4220_3900",1
"82","PU2_4340_3860",1
"83","PU2_4360_4160",1
"84","PU2_4720_4750",1
"85","PU2_4730_4220",1
"86","PU2_4750_4450",1
"87","PU2_5190_4310",1
"88","PU2_5700_5210",1
"89","PU2_6050_5190",1
"90","PU3_2510_3290",1
"91","PU3_3290_3390",2
"92","PU3_3390_3730",2
"93","PU3_3680_3890",1
"94","PU3_3860_3610",2
"95","PU3_4280_3860",1
"96","PU3_4450_4440",2
"97","PU3_5210_5050",2
"98","PU4_3780_3930",6
"99","PU4_3890_3990",5
"100","PU4_3970_3890",4
"101","PU4_3990_3780",5
"102","PU4_4210_4170",5
"103","PU4_4310_4210",5
"104","PU4_4440_3970",3
"105","PU4_5050_4310",4
"106","PU5_3930_4170",7
"107","PU5_4170_4020",12
"108","PU6_3440_3590",19
"109","PU6_3530_3440",18
"110","PU6_3590_3640",20
"111","PU6_3600_3602",22
"112","PU6_3602_3730",23
"113","PU6_3610_3530",17
"114","PU6_3640_3600",21
"115","PU6_3690_3610",15
"116","PU6_3730_3750",25
"117","PU6_3750_3752",26
"118","PU6_3752_4080",27
"119","PU6_3870_3690",13
"120","PU6_4020_3870",13
"121","PU6_4080_4180",27
"122","PU6_4180_4150",28
