"","flow","rivseg","basin","river","DAsqmi","bascd","Mid","Last","Downstream","Upstream"
"1",2,"EL2_4400_4590","Eastern Shore of Chesapeake Bay","Marshyhope Creek",47.55039978,"EL","4400","4590","EL2_4590_0001","NA"
"2",0,"EL0_4560_4562","Eastern Shore of Chesapeake Bay","Nanticoke River Gravelly fork",40.70399857,"EL","4560","4562","EL0_4562_0001","NA"
"3",0,"EL0_4561_4562","Eastern Shore of Chesapeake Bay","Deep Creek",30.18309975,"EL","4561","4562","EL0_4562_0001","NA"
"6",2,"EL2_5110_5270","Eastern Shore of Chesapeake Bay","Pocomoke River",56.17549896,"EL","5110","5270","EL2_5270_0001","NA"
"29",0,"JA0_7291_7290","James River Basin","Swift Creek",64.35700226,"JA","7291","7290","JA2_7290_0001","NA"
"30",2,"JA2_7410_7470","James River Basin","Flat Creek",141.2720032,"JA","7410","7470","JA4_7470_7480","NA"
"33",2,"JA2_7550_7280","James River Basin","Appomatox River",312.8129883,"JA","7550","7280","JA4_7280_7340","NA"
"34",1,"JA1_7600_7570","James River Basin","West Creek",157.9440002,"JA","7600","7570","JA2_7570_7480","NA"
"35",1,"JA1_7640_7280","James River Basin","Bushy River",155.4519958,"JA","7640","7280","JA4_7280_7340","NA"
"36",3,"JB3_6820_7053","James River Basin","Chicahominy River",251.2400055,"JB","6820","7053","JB3_7053_0001","NA"
"41",1,"WU1_3240_3331","Western Shore of Chesapeake Bay","Winters Run",34.97869873,"WU","3240","3331","WU1_3331_3330","NA"
"44",1,"JU1_7630_7490","James River Basin","Johns Creek",105.1460037,"JU","7630","7490","JU3_7490_7400","NA"
"45",1,"JU1_7690_7490","James River Basin","Craig Creek",112.4140015,"JU","7690","7490","JU3_7490_7400","NA"
"46",1,"JU1_7750_7560","James River Basin","Catawba Creek",34.29169846,"JU","7750","7560","JU1_7560_7500","NA"
"47",1,"PL1_4460_4780","Potomac River Basin","Rock Creek",62.39569855,"PL","4460","4780","PL1_4780_0001","NA"
"58",2,"JL2_6240_6520","James River Basin","Rivianna River North Fork",177.1869965,"JL","6240","6520","JL4_6520_6710","NA"
"59",1,"JL1_6560_6440","James River Basin","Mechums River",95.35289764,"JL","6560","6440","JL2_6440_6441","NA"
"60",1,"JL1_6760_6910","James River Basin","Hardware River",115.6790009,"JL","6760","6910","JL1_6910_6960","NA"
"61",1,"JL1_6770_6850","James River Basin","Rockfish River North Fork",93.13230133,"JL","6770","6850","JL2_6850_6890","NA"
"62",1,"JL1_6940_7200","James River Basin","Tye River",93.36170197,"JL","6940","7200","JL1_7200_7250","NA"
"63",3,"JL3_7020_7100","James River Basin","Willis River",278.7120056,"JL","7020","7100","JL7_7100_7030","NA"
"64",1,"JL1_7080_7190","James River Basin","Piney River",47.50289917,"JL","7080","7190","JL1_7190_7250","NA"
"65",0,"PL0_5141_5140","Potomac River Basin","T. Nelson Elliott Dam",74.49949646,"PL","5141","5140","PL2_5140_5360","NA"
"68",2,"PL2_5300_5630","Potomac River Basin","Zekiah Swamp Run",80.21199799,"PL","5300","5630","PL2_5630_0001","NA"
"75",2,"JL2_7110_7120","James River Basin","Slate River",226.7559967,"JL","7110","7120","JL2_7120_6970","NA"
"76",1,"JL1_7170_6800","James River Basin","Deep Creek",80.88960266,"JL","7170","6800","JL7_6800_7070","NA"
"77",2,"JL2_7240_7350","James River Basin","Buffalo River",146.121994,"JL","7240","7350","JL2_7350_7090","NA"
"78",1,"JL1_7530_7430","James River Basin","Wreck Island Creek",58.74280167,"JL","7530","7430","JL6_7430_7320","NA"
"79",1,"JU1_6290_6590","James River Basin","Back Creek",60.35269928,"JU","6290","6590","JU1_6590_6600","NA"
"80",1,"JU1_6300_6650","James River Basin","Bullpasture River",110.4039993,"JU","6300","6650","JU3_6650_7300","NA"
"81",1,"JU1_6340_6650","James River Basin","Cowpasture River",76.08450317,"JU","6340","6650","JU3_6650_7300","NA"
"82",3,"JU3_6380_6900","James River Basin","Jackson River",158.5679932,"JU","6380","6900","JU3_6900_6950","NA"
"83",2,"JU2_6410_6640","James River Basin","Calfpasture River",141.5220032,"JU","6410","6640","JU3_6640_6790","NA"
"84",1,"JU1_6880_7260","James River Basin","South River",118.7669983,"JU","6880","7260","JU4_7260_7380","NA"
"85",2,"JU2_7140_7330","James River Basin","Dunlap Creek",169.0599976,"JU","7140","7330","JU4_7330_7000","NA"
