"","RIVSEG","NA"
"1","RU2_5220_5640",1
"2","RU2_5500_5610",1
"3","RU2_5810_5610",1
"4","RU2_5940_6200",1
"5","RU2_6090_6220",1
"6","RU2_6200_6170",1
"7","RU2_6220_6170",1
"8","RU3_5610_5640",2
"9","RU3_6170_6040",2
"10","RU4_5640_6030",3
"11","RU4_6040_6030",2
"12","RU5_6030_0001",5
