"","agency_cd","site_no","Date","Flow","Flow_cd"
"1","USGS","02047000",1984-01-01,2760,"A"
"2","USGS","02047000",1984-01-02,2230,"A"
"3","USGS","02047000",1984-01-03,1840,"A"
"4","USGS","02047000",1984-01-04,1590,"A"
"5","USGS","02047000",1984-01-05,1400,"A"
"6","USGS","02047000",1984-01-06,1300,"A"
"7","USGS","02047000",1984-01-07,1240,"A"
"8","USGS","02047000",1984-01-08,1180,"A"
"9","USGS","02047000",1984-01-09,1100,"A"
"10","USGS","02047000",1984-01-10,1040,"A"
"11","USGS","02047000",1984-01-11,1570,"A"
"12","USGS","02047000",1984-01-12,2700,"A"
"13","USGS","02047000",1984-01-13,3470,"A"
"14","USGS","02047000",1984-01-14,4170,"A"
"15","USGS","02047000",1984-01-15,5180,"A"
"16","USGS","02047000",1984-01-16,5750,"A"
"17","USGS","02047000",1984-01-17,5150,"A"
"18","USGS","02047000",1984-01-18,3770,"A"
"19","USGS","02047000",1984-01-19,3000,"A"
"20","USGS","02047000",1984-01-20,3140,"A"
"21","USGS","02047000",1984-01-21,3600,"A"
"22","USGS","02047000",1984-01-22,3770,"A"
"23","USGS","02047000",1984-01-23,3800,"A"
"24","USGS","02047000",1984-01-24,3600,"A"
"25","USGS","02047000",1984-01-25,3040,"A"
"26","USGS","02047000",1984-01-26,2890,"A"
"27","USGS","02047000",1984-01-27,3160,"A"
"28","USGS","02047000",1984-01-28,3500,"A"
"29","USGS","02047000",1984-01-29,3720,"A"
"30","USGS","02047000",1984-01-30,3540,"A"
"31","USGS","02047000",1984-01-31,2920,"A"
"32","USGS","02047000",1984-02-01,2270,"A"
"33","USGS","02047000",1984-02-02,1880,"A"
"34","USGS","02047000",1984-02-03,1650,"A"
"35","USGS","02047000",1984-02-04,1590,"A"
"36","USGS","02047000",1984-02-05,1870,"A"
"37","USGS","02047000",1984-02-06,2400,"A"
"38","USGS","02047000",1984-02-07,2800,"A"
"39","USGS","02047000",1984-02-08,2940,"A"
"40","USGS","02047000",1984-02-09,2870,"A"
"41","USGS","02047000",1984-02-10,2530,"A"
"42","USGS","02047000",1984-02-11,2190,"A"
"43","USGS","02047000",1984-02-12,1990,"A"
"44","USGS","02047000",1984-02-13,1870,"A"
"45","USGS","02047000",1984-02-14,2040,"A"
"46","USGS","02047000",1984-02-15,2970,"A"
"47","USGS","02047000",1984-02-16,3970,"A"
"48","USGS","02047000",1984-02-17,5280,"A"
"49","USGS","02047000",1984-02-18,8060,"A"
"50","USGS","02047000",1984-02-19,11100,"A"
"51","USGS","02047000",1984-02-20,11000,"A"
"52","USGS","02047000",1984-02-21,8800,"A"
"53","USGS","02047000",1984-02-22,6240,"A"
"54","USGS","02047000",1984-02-23,4170,"A"
"55","USGS","02047000",1984-02-24,3170,"A"
"56","USGS","02047000",1984-02-25,3230,"A"
"57","USGS","02047000",1984-02-26,3740,"A"
"58","USGS","02047000",1984-02-27,4460,"A"
"59","USGS","02047000",1984-02-28,5270,"A"
"60","USGS","02047000",1984-02-29,5220,"A"
"61","USGS","02047000",1984-03-01,4610,"A"
"62","USGS","02047000",1984-03-02,4170,"A"
"63","USGS","02047000",1984-03-03,3870,"A"
"64","USGS","02047000",1984-03-04,3410,"A"
"65","USGS","02047000",1984-03-05,2840,"A"
"66","USGS","02047000",1984-03-06,2730,"A"
"67","USGS","02047000",1984-03-07,3710,"A"
"68","USGS","02047000",1984-03-08,5860,"A"
"69","USGS","02047000",1984-03-09,9160,"A"
"70","USGS","02047000",1984-03-10,11300,"A"
"71","USGS","02047000",1984-03-11,10700,"A"
"72","USGS","02047000",1984-03-12,8720,"A"
"73","USGS","02047000",1984-03-13,6730,"A"
"74","USGS","02047000",1984-03-14,5270,"A"
"75","USGS","02047000",1984-03-15,4480,"A"
"76","USGS","02047000",1984-03-16,4460,"A"
"77","USGS","02047000",1984-03-17,4960,"A"
"78","USGS","02047000",1984-03-18,5430,"A"
"79","USGS","02047000",1984-03-19,5100,"A"
"80","USGS","02047000",1984-03-20,4150,"A"
"81","USGS","02047000",1984-03-21,3400,"A"
"82","USGS","02047000",1984-03-22,3070,"A"
"83","USGS","02047000",1984-03-23,3120,"A"
"84","USGS","02047000",1984-03-24,3210,"A"
"85","USGS","02047000",1984-03-25,3100,"A"
"86","USGS","02047000",1984-03-26,2890,"A"
"87","USGS","02047000",1984-03-27,2930,"A"
"88","USGS","02047000",1984-03-28,3320,"A"
"89","USGS","02047000",1984-03-29,4140,"A"
"90","USGS","02047000",1984-03-30,5310,"A"
"91","USGS","02047000",1984-03-31,6190,"A"
"92","USGS","02047000",1984-04-01,7010,"A"
"93","USGS","02047000",1984-04-02,8010,"A"
"94","USGS","02047000",1984-04-03,8210,"A"
"95","USGS","02047000",1984-04-04,7220,"A"
"96","USGS","02047000",1984-04-05,5690,"A"
"97","USGS","02047000",1984-04-06,4510,"A"
"98","USGS","02047000",1984-04-07,4250,"A"
"99","USGS","02047000",1984-04-08,4640,"A"
"100","USGS","02047000",1984-04-09,5200,"A"
"101","USGS","02047000",1984-04-10,5120,"A"
"102","USGS","02047000",1984-04-11,4170,"A"
"103","USGS","02047000",1984-04-12,3210,"A"
"104","USGS","02047000",1984-04-13,2600,"A"
"105","USGS","02047000",1984-04-14,2340,"A"
"106","USGS","02047000",1984-04-15,2650,"A"
"107","USGS","02047000",1984-04-16,3400,"A"
"108","USGS","02047000",1984-04-17,4150,"A"
"109","USGS","02047000",1984-04-18,4970,"A"
"110","USGS","02047000",1984-04-19,5730,"A"
"111","USGS","02047000",1984-04-20,5970,"A"
"112","USGS","02047000",1984-04-21,5220,"A"
"113","USGS","02047000",1984-04-22,4030,"A"
"114","USGS","02047000",1984-04-23,3550,"A"
"115","USGS","02047000",1984-04-24,4020,"A"
"116","USGS","02047000",1984-04-25,4810,"A"
"117","USGS","02047000",1984-04-26,5760,"A"
"118","USGS","02047000",1984-04-27,6520,"A"
"119","USGS","02047000",1984-04-28,6230,"A"
"120","USGS","02047000",1984-04-29,5050,"A"
"121","USGS","02047000",1984-04-30,3680,"A"
"122","USGS","02047000",1984-05-01,2770,"A"
"123","USGS","02047000",1984-05-02,2210,"A"
"124","USGS","02047000",1984-05-03,1900,"A"
"125","USGS","02047000",1984-05-04,1720,"A"
"126","USGS","02047000",1984-05-05,1580,"A"
"127","USGS","02047000",1984-05-06,1510,"A"
"128","USGS","02047000",1984-05-07,1480,"A"
"129","USGS","02047000",1984-05-08,1510,"A"
"130","USGS","02047000",1984-05-09,1690,"A"
"131","USGS","02047000",1984-05-10,1790,"A"
"132","USGS","02047000",1984-05-11,1760,"A"
"133","USGS","02047000",1984-05-12,1520,"A"
"134","USGS","02047000",1984-05-13,1280,"A"
"135","USGS","02047000",1984-05-14,1100,"A"
"136","USGS","02047000",1984-05-15,965,"A"
"137","USGS","02047000",1984-05-16,842,"A"
"138","USGS","02047000",1984-05-17,742,"A"
"139","USGS","02047000",1984-05-18,667,"A"
"140","USGS","02047000",1984-05-19,615,"A"
"141","USGS","02047000",1984-05-20,575,"A"
"142","USGS","02047000",1984-05-21,545,"A"
"143","USGS","02047000",1984-05-22,510,"A"
"144","USGS","02047000",1984-05-23,475,"A"
"145","USGS","02047000",1984-05-24,478,"A"
"146","USGS","02047000",1984-05-25,478,"A"
"147","USGS","02047000",1984-05-26,531,"A"
"148","USGS","02047000",1984-05-27,556,"A"
"149","USGS","02047000",1984-05-28,515,"A"
"150","USGS","02047000",1984-05-29,575,"A"
"151","USGS","02047000",1984-05-30,1610,"A"
"152","USGS","02047000",1984-05-31,3150,"A"
"153","USGS","02047000",1984-06-01,4590,"A"
"154","USGS","02047000",1984-06-02,5830,"A"
"155","USGS","02047000",1984-06-03,6900,"A"
"156","USGS","02047000",1984-06-04,6820,"A"
"157","USGS","02047000",1984-06-05,5360,"A"
"158","USGS","02047000",1984-06-06,3260,"A"
"159","USGS","02047000",1984-06-07,1780,"A"
"160","USGS","02047000",1984-06-08,1150,"A"
"161","USGS","02047000",1984-06-09,902,"A"
"162","USGS","02047000",1984-06-10,757,"A"
"163","USGS","02047000",1984-06-11,651,"A"
"164","USGS","02047000",1984-06-12,558,"A"
"165","USGS","02047000",1984-06-13,489,"A"
"166","USGS","02047000",1984-06-14,434,"A"
"167","USGS","02047000",1984-06-15,400,"A"
"168","USGS","02047000",1984-06-16,374,"A"
"169","USGS","02047000",1984-06-17,341,"A"
"170","USGS","02047000",1984-06-18,336,"A"
"171","USGS","02047000",1984-06-19,380,"A"
"172","USGS","02047000",1984-06-20,400,"A"
"173","USGS","02047000",1984-06-21,349,"A"
"174","USGS","02047000",1984-06-22,307,"A"
"175","USGS","02047000",1984-06-23,271,"A"
"176","USGS","02047000",1984-06-24,249,"A"
