"","Overall.Mean.Flow","Jan..Low.Flow","Feb..Low.Flow","Mar..Low.Flow","Apr..Low.Flow","May.Low.Flow","Jun..Low.Flow","Jul..Low.Flow","Aug..Low.Flow","Sep..Low.Flow","Oct..Low.Flow","Nov..Low.Flow","Dec..Low.Flow","Jan..Mean.Flow","Feb..Mean.Flow","Mar..Mean.Flow","Apr..Mean.Flow","May.Mean.Flow","Jun..Mean.Flow","Jul..Mean.Flow","Aug..Mean.Flow","Sep..Mean.Flow","Oct..Mean.Flow","Nov..Mean.Flow","Dec..Mean.Flow","Min..1.Day.Min","Med..1.Day.Min.","Min..3.Day.Min","Med..3.Day.Min.","Min..7.Day.Min","Med..7.Day.Min.","Min..30.Day.Min","Med..30.Day.Min.","Min..90.Day.Min","Med..90.Day.Min.","X7Q10","Year.of.90.Day.Low.Flow","X1..Non.Exceedance","X5..Non.Exceedance","X50..Non.Exceedance","X95..Non.Exceedance","X99..Non.Exceedance","Sept..10..Non.Exceedance","Mean.Baseflow","Jan..High.Flow","Feb..High.Flow","Mar..High.Flow","Apr..High.Flow","May.High.Flow","Jun..High.Flow","Jul..High.Flow","Aug..High.Flow","Sep..High.Flow","Oct..High.Flow","Nov..High.Flow","Dec..High.Flow","Max..1.Day.Max","Med..1.Day.Max.","Max..3.Day.Max","Med..3.Day.Max.","Max..7.Day.Max","Med..7.Day.Max.","Max..30.Day.Max","Med..30.Day.Max.","Max..90.Day.Max","Med..90.Day.Max.","Drought.Year.Mean"
"OD2_8830_8710",262,21,26,35,50,101,116,96,36,26,21,24,20.9,418,461,634,414,201,157,87.9,122,176,112,144,224,2.5,17,2.97,17.3,3.43,18,4.64,22.3,10,31.2,7.29,2002,7.6,14,65,1270,3020,14,75.9,112,224,515,1360,1410,2100,1410,392,138,119,102,130,9240,3930,7520,3370,4470,2390,2330,945,1450,501,262
"OD2_8920_8830",148,16,13,15,18,57,54,20,16.5,15,13,14,14.4,253,271,385,231,106,82.3,45.1,64.5,89.9,60.7,75.6,118,0.27,8.8,0.333,8.8,0.446,9.03,0.803,13.5,4.12,17.1,1.77,2002,1.99,4.21,23,697,2000,6.49,40,25,18,355,983,940,1490,1120,188,35,36,36,26,7000,3280,4570,2500,2650,1540,1250,578,772,274,148
"OD4_9140_8990",1160,424,510,591,618,814,880,804,715,632,488,391,338,1340,1410,1890,1630,1220,1070,884,827,887,811,895,1050,63,297,63.7,310,65.3,340,99.6,402,156,586,142,2002,172,296,797,2860,7510,295,709,1020,2070,3190,3940,4230,6330,2880,2130,1810,1520,2060,1300,27800,15600,18800,9560,10100,5590,5040,2560,3450,1630,1160
"OD2_8840_9020",193,75,88.1,90.9,106,133,131,134,120,108,97.1,84,76,208,212,268,267,197,197,161,181,160,123,158,185,21,60.5,25.7,63.7,41,71.1,52.7,87.2,66.3,117,46.4,2002,51,65,143,446,929,62.9,130,174,286,441,420,413,497,465,371,311,233,261,274,6430,1820,3010,1000,1540,675,768,403,551,276,193
"OD3_8630_8720",526,102,127,133,147,155,160,179,152,195,143,116,123,552,525,665,685,561,576,506,481,529,394,409,430,54,75.5,69.4,161,82.5,216,94.9,252,110,287,127,2002,83.8,130,378,1360,2620,146,179,506,667,906,1210,1080,1400,1460,1260,1010,945,880,884,11300,3760,8320,2890,4890,2010,2220,1160,1550,816,526
"OD5_8780_8660",2820,770,1000,1180,1310,1720,1830,1820,1440,1260,1050,819,736,3430,3540,4590,3960,2930,2580,1990,1950,2330,1940,2090,2530,133,574,135,757,143,802,230,1000,353,1380,381,2002,382,713,1900,7570,18900,736,1540,2630,4810,6410,9820,9860,13200,9240,6570,3700,3990,3740,3040,53400,28700,45400,23100,30700,14000,11900,6270,7980,3780,2820
"OD3_8720_8900",702,196,200,214,220,270,242,347,288,245,204,187,183,761,747,961,935,762,745,616,583,657,522,550,590,72.8,124,86,181,99.8,259,125,306,137,375,150,2002,115,185,496,1770,3980,185,298,563,1110,1330,1570,1720,2180,1760,1600,1440,1440,1020,928,15300,6350,8230,4090,5500,2840,3050,1520,2050,1150,702
"NR2_8600_8700",272,72.6,81.5,89.5,102,190,234,226,152,128,99.8,85.1,76,324,463,509,405,334,268,192,152,124,104,171,236,40.8,68,44.1,69,46.8,69.4,56.9,76.2,66.5,100,51.6,1999,54,66.9,165,797,1680,61.1,160,134,235,730,1140,1600,1560,980,795,469,222,160,166,7620,2850,3880,2130,2190,1420,1120,706,767,513,272
"TU3_9230_9260",541,59,72,169,211,312,327,303,208,124,88,66,55,804,1090,993,834,643,428,224,186,146,137,353,686,34,44,34.7,46,35.1,46.4,39.6,62.2,72.7,136,38.2,1995,42,51,277,1830,4150,45,234,211,1930,2500,3170,3760,3030,1920,2040,559,700,499,422,21400,6610,10900,4600,6310,3030,3010,1620,2180,1150,541
"NR3_9310_9240",418,163,187,226,255,270,356,345,284,271,204,173,157,474,480,565,547,430,405,338,337,344,313,401,388,74.7,142,76.5,144,83.3,154,101,174,137,233,102,2002,108,138,329,908,1860,138,291,477,1010,954,936,995,1280,1020,659,645,660,601,556,15400,3330,7700,2260,4080,1710,1560,890,1000,683,418
"OD2_8560_8630",280,50,51,50,49,51,49,50,50,50,51,50,49,292,270,340,391,301,305,259,273,269,216,221,228,38,46,44,62,60.6,93.3,69.8,128,72.5,143,67.7,2003,44,47,202,760,1350,50,57.5,248,238,263,612,468,632,673,728,562,417,419,412,5710,1370,4300,1270,2380,1100,1200,628,839,438,280
"OD5_8900_8770",2160,612,840,731,1040,1500,1460,1470,1210,1100,653,569,506,2480,2710,3010,3010,2330,2180,1430,1610,2370,1380,1520,1990,104,360,109,472,126,635,224,783,336,1110,290,2002,221,490,1560,5320,14600,453,1270,2270,3200,4290,5360,6640,9740,5980,6740,4360,2540,2920,3800,41500,20800,34500,14600,24500,7410,9250,3950,6300,2860,2160
"OD5_8890_8770",2160,612,840,731,1040,1500,1460,1470,1210,1100,653,569,506,2480,2710,3010,3010,2330,2180,1430,1610,2370,1380,1520,1990,104,360,109,472,126,635,224,783,336,1110,290,2002,221,490,1560,5320,14600,453,1270,2270,3200,4290,5360,6640,9740,5980,6740,4360,2540,2920,3800,41500,20800,34500,14600,24500,7410,9250,3950,6300,2860,2160
"BS1_8730_8540",77.6,8.3,12,16,30,48,54,54,32.6,19,14,11,9.4,102,156,156,134,90.1,61.1,39.5,33.8,25.3,25,39.2,75,3,7.4,3.33,7.53,4.41,7.84,5.1,11.2,8.91,18.7,5.15,1999,5.7,8.3,39.9,247,607,7.6,35.5,36,163,231,380,596,411,255,243,97,118,79,55,3750,1020,1710,755,873,477,451,247,320,162,77.6
"BS4_8540_8441",287,51,70,57,46,92,70,51,58,53,46,46,46,368,534,505,308,325,228,138,120,94.5,226,292,319,8.5,23,8.63,39,10.9,41,38.4,56,48.1,78.9,16.3,1995,16.7,44,145,1060,2260,45,101,383,669,949,1160,1740,1360,673,1260,399,365,286,119,4010,2920,3700,2350,2650,1760,1630,845,1080,562,287
"BS3_8350_8330",377,32,38,88,140,250,264,272,154,90,62.8,53,33,495,728,742,691,505,295,193,138,88,110,199,362,14,25.2,14.3,26.7,15.6,28.3,22.1,39.3,36.1,99.6,20.2,1988,23,32,188,1250,2820,27,175,186,696,1160,1650,2960,2010,1270,1700,507,588,385,207,11200,4510,5880,3110,3520,2040,2370,1120,1360,778,377
"TU2_8790_9070",253,62,62,94,117,196,218,198,144,116,83,80,67,321,470,472,380,296,224,173,134,107,99.8,144,228,39,56,40,56.7,40.7,58.7,49.6,65.8,53.2,84.1,47.1,1988,49,60,152,731,1500,56,149,118,222,792,965,1430,1250,663,733,399,281,228,168,7040,2810,4180,1880,2690,1220,1170,653,789,444,253
"TU3_9040_9180",469,97,111,183,210,339,373,378,289,182,131,122,100,616,826,806,730,599,407,300,225,202,176,306,459,65,83,65,84,66.9,88.6,86.3,101,96.2,174,71.5,1988,79,93,312,1310,2670,83,266,205,526,1450,1650,2640,2080,1420,1530,802,596,362,285,10400,4840,6920,3430,4480,2200,2000,1160,1330,891,469
"TU2_9200_9180",469,97,111,183,210,339,373,378,289,182,131,122,100,616,826,806,730,599,407,300,225,202,176,306,459,65,83,65,84,66.9,88.6,86.3,101,96.2,174,71.5,1988,79,93,312,1310,2670,83,266,205,526,1450,1650,2640,2080,1420,1530,802,596,362,285,10400,4840,6920,3430,4480,2200,2000,1160,1330,891,469
"TU2_8950_9040",109,25,30,42,47,77,92,91,67,47,35.9,31,25,144,192,197,169,131,96.9,70.6,54.1,51.7,42.8,68.2,95.7,16,22,16,22.7,16.6,22.9,17.3,25.9,20.2,34.2,19.1,1988,20,23,68,308,686,22,62.1,47,122,318,439,524,730,322,356,203,105,69,53,3780,1470,2090,900,1090,556,581,271,377,207,109
"NR6_8640_8500",3140,900,1040,1450,1200,2220,2590,2520,2180,1730,1360,1110,879,3690,4270,4870,4470,3580,2980,2230,2050,2180,1990,2680,2790,446,823,457,874,501,914,653,1060,825,1540,641,2002,683,887,2240,7770,16800,888,1960,2860,5960,5300,8300,8630,12700,9720,7250,4550,3320,3200,3350,84700,30200,49600,20300,26400,13400,12000,6930,8580,5600,3140
"NR3_8740_8500",3140,900,1040,1450,1200,2220,2590,2520,2180,1730,1360,1110,879,3690,4270,4870,4470,3580,2980,2230,2050,2180,1990,2680,2790,446,823,457,874,501,914,653,1060,825,1540,641,2002,683,887,2240,7770,16800,888,1960,2860,5960,5300,8300,8630,12700,9720,7250,4550,3320,3200,3350,84700,30200,49600,20300,26400,13400,12000,6930,8580,5600,3140
"NR3_8690_8500",3140,900,1040,1450,1200,2220,2590,2520,2180,1730,1360,1110,879,3690,4270,4870,4470,3580,2980,2230,2050,2180,1990,2680,2790,446,823,457,874,501,914,653,1060,825,1540,641,2002,683,887,2240,7770,16800,888,1960,2860,5960,5300,8300,8630,12700,9720,7250,4550,3320,3200,3350,84700,30200,49600,20300,26400,13400,12000,6930,8580,5600,3140
"NR5_9050_8870",1880,610,754,943,781,1300,1540,1540,1400,1110,857,685,587,2210,2490,2810,2620,2100,1860,1390,1250,1340,1200,1640,1710,283,486,298,505,317,524,398,654,524,1000,362,1988,397,532,1390,4540,9300,510,1210,1440,4140,3850,4740,6070,8060,5500,3890,2430,2320,2200,1930,57800,18300,31000,11900,17100,7810,6560,4050,4750,3150,1880
"NR1_8960_8870",1880,610,754,943,781,1300,1540,1540,1400,1110,857,685,587,2210,2490,2810,2620,2100,1860,1390,1250,1340,1200,1640,1710,283,486,298,505,317,524,398,654,524,1000,362,1988,397,532,1390,4540,9300,510,1210,1440,4140,3850,4740,6070,8060,5500,3890,2430,2320,2200,1930,57800,18300,31000,11900,17100,7810,6560,4050,4750,3150,1880
