"","Model"
"Min. 1 Day Min",36.3
"Med. 1 Day Min",80.6
"Min. 3 Day Min",36.7
"Med. 3 Day Min",81.5
"Min. 7 Day Min",38.6
"Med. 7 Day Min",83.5
"Min. 30 Day Min",49
"Med. 30 Day Min",115
"Min. 90 Day Min",105
"Med. 90 Day Min",211
"7Q10",45.4
"Year of 90-Day Low Flow",1988
"Drought Year Mean",279.801022041121
"Mean Baseflow",466
