"","Model"
"Jan. High Flow",260
"Feb. High Flow",596
"Mar. High Flow",890
"Apr. High Flow",2510
"May High Flow",2390
"Jun. High Flow",2800
"Jul. High Flow",1760
"Aug. High Flow",1570
"Sep. High Flow",904
"Oct. High Flow",540
"Nov. High Flow",435
"Dec. High Flow",344
