"","Model"
"Overall Mean Flow",408
"Jan. Mean Flow",495
"Feb. Mean Flow",635
"Mar. Mean Flow",718
"Apr. Mean Flow",621
"May Mean Flow",427
"Jun. Mean Flow",385
"Jul. Mean Flow",245
"Aug. Mean Flow",223
"Sep. Mean Flow",278
"Oct. Mean Flow",235
"Nov. Mean Flow",316
"Dec. Mean Flow",342
