"","Model"
"Min. 1 Day Min",1.03
"Med. 1 Day Min",35.9
"Min. 3 Day Min",1.43
"Med. 3 Day Min",37.9
"Min. 7 Day Min",2.28
"Med. 7 Day Min",42.6
"Min. 30 Day Min",5.23
"Med. 30 Day Min",59
"Min. 90 Day Min",25
"Med. 90 Day Min",109
"7Q10",7.14
"Year of 90-Day Low Flow",2002
"Drought Year Mean",107.119665946329
"Mean Baseflow",289
