"","Model"
"1% Non-Exceedance",3.32
"5% Non-Exceedance",7.88
"50% Non-Exceedance",47.1
"95% Non-Exceedance",253
"99% Non-Exceedance",668
"Sept. 10% Non-Exceedance",5.65
