"","Model"
"Min. 1 Day Min",0
"Med. 1 Day Min",4.75
"Min. 3 Day Min",0.0118
"Med. 3 Day Min",5.23
"Min. 7 Day Min",0.332
"Med. 7 Day Min",6.25
"Min. 30 Day Min",4.15
"Med. 30 Day Min",12.4
"Min. 90 Day Min",8.69
"Med. 90 Day Min",23.9
"7Q10",1.35
"Year of 90-Day Low Flow",1988
"Drought Year Mean",32.7935185419024
"Mean Baseflow",39.2
