WKT,OBJECTID,IJK,I,J,K,AQ_TOP,IJ,WL_ABV_AQ,Crit_Surf,Unit,SHAPE_Leng,SHAPE_Area,FID_,IJK_1,I_1,J_1,K_1,Critical_S,IJ_1,Unit_1,WSP20_30,WSP20_40,WSP20_50,WSP20_60,WSP20_70,WSP40_30,WSP40_40,WSP40_50,WSP40_60,WSP40_70,WS_SW40_30,WS_SW40_40,WS_SW40_50,WS_SW40_60,WS_SW40_70,A_WSP20_30,A_WSP20_40,A_WSP20_50,A_WSP20_60,A_WSP20_70,A_WSP40_30,A_WSP40_40,A_WSP40_50,A_WSP40_60,A_WSP40_70,A_SW40_30,A_SW40_40,A_SW40_50,A_SW40_60,A_SW40_70
"POLYGON ((-77.3868174168944 38.3919288629296,-77.4052370714107 38.3918678631265,-77.4053163960446 38.4063645623357,-77.3868931359879 38.4064255736854,-77.3868174168944 38.3919288629296))",12,141512,1,8,12,102,"8",-10.966,111.2,AQAQ,21120,27878400,11,141512,1,8,12,121.6,8,AQAQ,98.6542,98.5513,98.5219,98.5102,98.5038,98.5963,98.4772,98.4386,98.4208,98.4103,98.5963,98.4779,98.4463,98.4388,98.4377,-22.9458,-23.0487,-23.0781,-23.0898,-23.0962,-23.0037,-23.1228,-23.1614,-23.1792,-23.1897,-23.0037,-23.1221,-23.1537,-23.1612,-23.1623
"POLYGON ((-77.368397732746 38.3919870255777,-77.3868174168944 38.3919288629296,-77.3868931359879 38.4064255736854,-77.3684698462816 38.4064837473433,-77.368397732746 38.3919870255777))",14,141513,1,9,12,94,"9",-3.9052,101.8,AQAQ,21120,27878400,13,141513,1,9,12,95.8,9,AQAQ,95.9563,95.8367,95.8027,95.7889,95.7813,95.8836,95.7439,95.6984,95.6771,95.6644,95.8836,95.7446,95.7076,95.6989,95.6977,0.1563,0.0367,0.0027,-0.0111,-0.0187,0.0836,-0.0561,-0.1016,-0.1229,-0.1356,0.0836,-0.0554,-0.0924,-0.1011,-0.1023
"POLYGON ((-77.3499780203765 38.3920423510646,-77.368397732746 38.3919870255777,-77.3684698462816 38.4064837473433,-77.3500465283377 38.4065390833027,-77.3499780203765 38.3920423510646))",17,141514,1,10,12,85,"10",-13.3345,96.8,AQAQ,21120,27878400,16,141514,1,10,12,107.8,10,AQAQ,80.1547,80.0368,80.0016,79.9865,79.9779,80.08,79.9423,79.8958,79.8734,79.8597,80.08,79.9432,79.9052,79.8952,79.893,-27.6453,-27.7632,-27.7984,-27.8135,-27.8221,-27.72,-27.8577,-27.9042,-27.9266,-27.9403,-27.72,-27.8568,-27.8948,-27.9048,-27.907
"POLYGON ((-77.3315582811968 38.3920948393839,-77.3499780203765 38.3920423510646,-77.3500465283377 38.4065390833027,-77.3316231835678 38.4065915815576,-77.3315582811968 38.3920948393839))",20,141515,1,11,12,69,"11",-9.3675,86.6,AQAQ,21120,27878400,19,141515,1,11,12,86.6,11,AQAQ,73.0112,72.8979,72.8639,72.8492,72.8408,72.9371,72.8045,72.7595,72.7377,72.7244,72.9371,72.8054,72.7689,72.7593,72.7571,-13.5888,-13.7021,-13.7361,-13.7508,-13.7592,-13.6629,-13.7955,-13.8405,-13.8623,-13.8756,-13.6629,-13.7946,-13.8311,-13.8407,-13.8429
"POLYGON ((-77.2394592325311 38.3923147232748,-77.2578790845965 38.3922764208742,-77.2579295644659 38.4067731974195,-77.2395061067441 38.4068115070704,-77.2394592325311 38.3923147232748))",31,141520,1,16,12,0,"16",-4.7892101,4.8,AQAQ,21120,27878400,30,141520,1,16,12,6,16,AQAQ,0.00964086,0.00962278,0.00961109,0.00960244,0.00959565,0.00942164,0.00936154,0.00932143,0.009293,0.00927223,0.00942161,0.00936609,0.00935649,0.00936677,0.00937961,-5.99035914,-5.99037722,-5.99038891,-5.99039756,-5.99040435,-5.99057836,-5.99063846,-5.99067857,-5.990707,-5.99072777,-5.99057839,-5.99063391,-5.99064351,-5.99063323,-5.99062039
"POLYGON ((-77.2210393621216 38.3923501884776,-77.2394592325311 38.3923147232748,-77.2395061067441 38.4068115070704,-77.2210826306674 38.4068469789864,-77.2210393621216 38.3923501884776))",34,141521,1,17,12,0,"17",-9.01712,15,AQAQ,21120,27878400,33,141521,1,17,12,15.8,17,AQAQ,5.48793,5.48136,5.47711,5.47393,5.47141,5.40629,5.38369,5.36859,5.35787,5.35002,5.40628,5.38541,5.38192,5.38599,5.39099,-10.31207,-10.31864,-10.32289,-10.32607,-10.32859,-10.39371,-10.41631,-10.43141,-10.44213,-10.44998,-10.39372,-10.41459,-10.41808,-10.41401,-10.40901
"POLYGON ((-77.2026194747792 38.3923828164787,-77.2210393621216 38.3923501884776,-77.2210826306674 38.4068469789864,-77.2026591376477 38.4068796131637,-77.2026194747792 38.3923828164787))",37,141522,1,18,12,0,"18",-6.4358,14.8,AQAQ,21120,27878400,36,141522,1,18,12,16.4,18,AQAQ,7.56902,7.55934,7.55307,7.54838,7.54468,7.45436,7.42115,7.39894,7.38317,7.3716,7.45434,7.42368,7.41846,7.42439,7.43173,-8.83098,-8.84066,-8.84693,-8.85162,-8.85532,-8.94564,-8.97885,-9.00106,-9.01683,-9.0284,-8.94566,-8.97632,-8.98154,-8.97561,-8.96827
"POLYGON ((-77.1841995719148 38.3924126072744,-77.2026194747792 38.3923828164787,-77.2026591376477 38.4068796131637,-77.184235629097 38.4069094095986,-77.1841995719148 38.3924126072744))",40,141523,1,19,12,0,"19",-8.73765,15.2,AQAQ,21120,27878400,39,141523,1,19,12,18,19,AQAQ,5.80573,5.79819,5.79327,5.78959,5.78668,5.72229,5.69647,5.67911,5.66677,5.65771,5.72228,5.69858,5.69471,5.69938,5.70512,-12.19427,-12.20181,-12.20673,-12.21041,-12.21332,-12.27771,-12.30353,-12.32089,-12.33323,-12.34229,-12.27772,-12.30142,-12.30529,-12.30062,-12.29488
"POLYGON ((-77.1657796549395 38.3924395608615,-77.1841995719148 38.3924126072744,-77.184235629097 38.4069094095986,-77.1658121064271 38.4069363682877,-77.1657796549395 38.3924395608615))",43,141524,1,20,12,0,"20",-7.25054,12.2,AQAQ,21120,27878400,42,141524,1,20,12,9.6,20,AQAQ,4.39618,4.39048,4.38672,4.3839,4.38167,4.33858,4.31905,4.30585,4.29643,4.28952,4.33857,4.32085,4.31823,4.32187,4.32627,-5.20382,-5.20952,-5.21328,-5.2161,-5.21833,-5.26142,-5.28095,-5.29415,-5.30357,-5.31048,-5.26143,-5.27915,-5.28177,-5.27813,-5.27373
"POLYGON ((-77.4051577778199 38.3773710707447,-77.4235737971819 38.3773072458766,-77.423656694884 38.3918040261753,-77.4052370714107 38.3918678631265,-77.4051577778199 38.3773710707447))",350,141607,2,7,12,110,"103",-16.464,123.2,AQAQ,21120,27878400,349,141607,2,7,12,131,103,AQAQ,105.943,105.855,105.831,105.822,105.817,105.905,105.806,105.776,105.762,105.755,105.905,105.807,105.781,105.775,105.774,-25.057,-25.145,-25.169,-25.178,-25.183,-25.095,-25.194,-25.224,-25.238,-25.245,-25.095,-25.193,-25.219,-25.225,-25.226
