"","X","Y","NAME","POPULATION","CLASS"
"1",-77.43885395,38.8390516,"Centreville",72775,"city"
"2",-77.347666,38.65295843,"Dale City",68926,"city"
"3",-77.34601804,38.94966479,"Reston",60324,"city"
"4",-77.47114561,39.03016236,"Ashburn",51095,"town"
"5",-77.161769,38.9340704,"McLean",49727,"town"
"6",-77.55441138,39.10566385,"Leesburg",47277,"town"
"7",-77.590096,37.58197285,"Tuckahoe",46456,"town"
"8",-80.42768081,37.22994002,"Blacksburg",44335,"town"
"9",-77.30587829,38.68427522,"Lake Ridge",42588,"town"
"10",-77.19600159,38.83239016,"Annandale",42271,"town"
"11",-77.57496593,38.7551006,"Linton Hall",41924,"town"
"12",-77.26326215,38.7772653,"Burke",41572,"town"
"13",-77.35606973,37.62630716,"Mechanicsville",38947,"town"
"14",-77.26191544,38.63716,"Marumsco",38336,"town"
"15",-77.30166942,38.88877689,"Oakton",36770,"town"
"16",-77.51322169,38.91214267,"South Riding",34195,"town"
"17",-77.357183,38.86249279,"Fair Oaks",31879,"town"
"18",-77.18388042,38.78085757,"Springfield",31356,"town"
"19",-77.40519694,39.00521535,"Sterling",29420,"town"
"20",-77.62007943,37.65494229,"Short Pump",28200,"town"
"21",-80.00729992,37.22537538,"Cave Spring",26135,"town"
"22",-77.13052665,38.84772879,"Bailey's Crossroads",24259,"town"
"23",-77.38672343,38.96992627,"Herndon",23993,"town"
"24",-77.15432023,38.81583969,"Lincolnia",23760,"town"
"25",-77.44528229,38.88679702,"Chantilly",23692,"town"
"26",-77.22671128,38.77713826,"West Springfield",22643,"smallTown"
"27",-77.43420708,37.35310712,"Chester",22224,"smallTown"
"28",-77.22726483,38.92148518,"Tysons Corner",22053,"smallTown"
"29",-77.11485009,38.73324592,"Woodlawn",21940,"smallTown"
"30",-80.40286123,37.14118461,"Christiansburg",21864,"smallTown"
"31",-77.33996923,38.61106371,"Montclair",21127,"smallTown"
"32",-77.10863057,38.78698998,"Rose Hill",20437,"smallTown"
"33",-77.21638908,38.69832859,"Lorton",19740,"smallTown"
"34",-77.397058,38.90798327,"Franklin Farm",19702,"smallTown"
"35",-77.28968283,38.57089814,"Cherry Hill",19519,"smallTown"
"36",-77.24256356,38.87306317,"Merrifield",19498,"smallTown"
"37",-77.47398942,37.43005689,"Meadowbrook",19287,"smallTown"
"38",-77.41149672,38.95128529,"McNair",19184,"smallTown"
"39",-77.172438,38.7519143,"Franconia",19082,"smallTown"
"40",-77.53231061,38.98023531,"Brambleton",18650,"smallTown"
"41",-77.44715415,38.72494762,"Buckhall",17761,"smallTown"
"42",-77.20525668,38.88976645,"Idylwood",17748,"smallTown"
"43",-77.2996825,38.78762924,"Burke Centre",17587,"smallTown"
"44",-77.57131371,37.51869522,"Bon Air",17527,"smallTown"
"45",-77.49162925,37.63796121,"Laurel",17368,"smallTown"
"46",-77.49610577,38.78782142,"Sudley",17339,"smallTown"
"47",-77.28483814,38.6085213,"Neabsco",16923,"smallTown"
"48",-77.32853611,37.55171622,"Highland Springs",16618,"smallTown"
"49",-77.2841651,38.93946579,"Wolf Trap",16540,"smallTown"
"50",-77.05968213,38.73528984,"Fort Hunt",16451,"smallTown"
"51",-77.25961938,38.89962545,"Vienna",16255,"smallTown"
"52",-77.1447565,38.75984592,"Kingstowne",16169,"smallTown"
"53",-77.0821433,38.74841519,"Hybla Valley",15980,"smallTown"
"54",-77.3013243,39.01102073,"Great Falls",15907,"smallTown"
"55",-77.38641846,37.57708902,"East Highland Park",15856,"smallTown"
"56",-77.4877565,37.67170658,"Glen Allen",15831,"smallTown"
"57",-77.5204348,38.78017619,"Bull Run",15682,"smallTown"
"58",-77.6275645,38.78999341,"Gainesville",15612,"smallTown"
"59",-77.09779482,38.76064585,"Groveton",15448,"smallTown"
"60",-79.95347683,37.34338382,"Hollins",15033,"smallTown"
"61",-78.18502975,38.92450116,"Front Royal",14863,"smallTown"
"62",-77.5165834,39.01692265,"Broadlands",14518,"smallTown"
"63",-77.649138,37.43612219,"Brandermill",14107,"smallTown"
"64",-77.29600954,38.81514385,"Kings Park West",13540,"smallTown"
"65",-77.48370104,39.08461253,"Lansdowne",13226,"smallTown"
"66",-77.19918861,38.73576293,"Newington",13186,"smallTown"
"67",-77.07409075,38.79138912,"Huntington",13120,"smallTown"
"68",-79.24804244,37.31650357,"Timberlake",13071,"smallTown"
"69",-77.10244294,38.71623135,"Mount Vernon",12755,"smallTown"
"70",-77.23388376,38.73702663,"Newington Forest",12685,"smallTown"
"71",-77.384683,39.05113986,"Cascades",12389,"smallTown"
"72",-77.37614648,39.03090767,"Sugarland Run",12381,"smallTown"
"73",-77.4767378,37.61325018,"Lakeside",12191,"smallTown"
"74",-77.33579385,38.79417545,"Fairfax Station",12137,"smallTown"
"75",-77.36926457,38.99548058,"Dranesville",12082,"smallTown"
"76",-77.24066626,38.82301057,"Wakefield",11484,"Census Designated Place"
"77",-79.12529822,37.42416472,"Madison Heights",11296,"Census Designated Place"
"78",-77.53962105,37.49015547,"Manchester",11292,"Census Designated Place"
"79",-77.35248935,39.04728232,"Lowes Island",11178,"Census Designated Place"
"80",-77.61242298,37.69251062,"Wyndham",10752,"Census Designated Place"
"81",-77.41243194,39.05163989,"Countryside",10385,"Census Designated Place"
