WKT,OBJECTID,IJK,I,J,K,AQ_TOP,IJ,WL_ABV_AQ,Crit_Surf,Unit,SHAPE_Leng,SHAPE_Area,FID_,IJK_1,I_1,J_1,K_1,Critical_S,IJ_1,Unit_1,WSP20_30,WSP20_40,WSP20_50,WSP20_60,WSP20_70,WSP40_30,WSP40_40,WSP40_50,WSP40_60,WSP40_70,WS_SW40_30,WS_SW40_40,WS_SW40_50,WS_SW40_60,WS_SW40_70,A_WSP20_30,A_WSP20_40,A_WSP20_50,A_WSP20_60,A_WSP20_70,A_WSP40_30,A_WSP40_40,A_WSP40_50,A_WSP40_60,A_WSP40_70,A_SW40_30,A_SW40_40,A_SW40_50,A_SW40_60,A_SW40_70
"POLYGON ((-77.3499780203765 38.3920423510646,-77.368397732746 38.3919870255777,-77.3684698462816 38.4064837473433,-77.3500465283377 38.4065390833027,-77.3499780203765 38.3920423510646))",18,231562,1,10,19,-11,"10",-7.1227,20,POAQ,21120,27878400,17,231562,1,10,19,31,10,POAQ,12.7255,12.6291,12.5825,12.5522,12.5292,11.762,11.5203,11.3786,11.2827,11.2138,11.7622,11.5365,11.5003,11.5355,11.5791,-18.2745,-18.3709,-18.4175,-18.4478,-18.4708,-19.238,-19.4797,-19.6214,-19.7173,-19.7862,-19.2378,-19.4635,-19.4997,-19.4645,-19.4209
"POLYGON ((-77.3315582811968 38.3920948393839,-77.3499780203765 38.3920423510646,-77.3500465283377 38.4065390833027,-77.3316231835678 38.4065915815576,-77.3315582811968 38.3920948393839))",21,231563,1,11,19,-16,"11",-17.59766,18.6,POAQ,21120,27878400,20,231563,1,11,19,17.8,11,POAQ,-3.96413,-4.05995,-4.11299,-4.15022,-4.17915,-5.20644,-5.49036,-5.66771,-5.79053,-5.87972,-5.20628,-5.46933,-5.50877,-5.46027,-5.40222,-21.76413,-21.85995,-21.91299,-21.95022,-21.97915,-23.00644,-23.29036,-23.46771,-23.59053,-23.67972,-23.00628,-23.26933,-23.30877,-23.26027,-23.20222
"POLYGON ((-77.294718728051 38.392191304497,-77.313138516618 38.3921444905299,-77.3131998133839 38.406641242102,-77.2947764191977 38.4066880649306,-77.294718728051 38.392191304497))",25,231565,1,13,19,-34,"13",8.0066,-27.2,POAQ,21120,27878400,24,231565,1,13,19,-27.2,13,POAQ,-30.2236,-30.3863,-30.4889,-30.5653,-30.6258,-32.6433,-33.2001,-33.567,-33.8257,-34.0151,-32.6431,-33.156,-33.2323,-33.1279,-33.0038,-3.0236,-3.1863,-3.2889,-3.3653,-3.4258,-5.4433,-6.0001,-6.367,-6.6257,-6.8151,-5.4431,-5.956,-6.0323,-5.9279,-5.8038
"POLYGON ((-77.2762989169068 38.3922352812801,-77.294718728051 38.392191304497,-77.2947764191977 38.4066880649306,-77.2763530024211 38.4067320500381,-77.2762989169068 38.3922352812801))",27,231566,1,14,19,-43,"14",6.2916,-34.4,POAQ,21120,27878400,26,231566,1,14,19,-36.4,14,POAQ,-40.8503,-41.0652,-41.2031,-41.3063,-41.3881,-43.9404,-44.6836,-45.1777,-45.5272,-45.7833,-43.9403,-44.6248,-44.7289,-44.5895,-44.4228,-4.4503,-4.6652,-4.8031,-4.9063,-4.9881,-7.5404,-8.2836,-8.7777,-9.1272,-9.3833,-7.5403,-8.2248,-8.3289,-8.1895,-8.0228
"POLYGON ((-77.2578790845965 38.3922764208742,-77.2762989169068 38.3922352812801,-77.2763530024211 38.4067320500381,-77.2579295644659 38.4067731974195,-77.2578790845965 38.3922764208742))",29,231567,1,15,19,-53,"15",5.9217,-42.4,POAQ,21120,27878400,28,231567,1,15,19,-45.4,15,POAQ,-50.5954,-50.8679,-51.0445,-51.1769,-51.2817,-54.3182,-55.2616,-55.8926,-56.3397,-56.6677,-54.3181,-55.187,-55.3224,-55.1466,-54.9347,-5.1954,-5.4679,-5.6445,-5.7769,-5.8817,-8.9182,-9.8616,-10.4926,-10.9397,-11.2677,-8.9181,-9.787,-9.9224,-9.7466,-9.5347
"POLYGON ((-77.2394592325311 38.3923147232748,-77.2578790845965 38.3922764208742,-77.2579295644659 38.4067731974195,-77.2395061067441 38.4068115070704,-77.2394592325311 38.3923147232748))",32,231568,1,16,19,-67,"16",4.2738,-48.8,POAQ,21120,27878400,31,231568,1,16,19,-48.4,16,POAQ,-59.9813,-60.3169,-60.5354,-60.6994,-60.8292,-64.2973,-65.4541,-66.2316,-66.7836,-67.1887,-64.2973,-65.3628,-65.5329,-65.3194,-65.06,-11.5813,-11.9169,-12.1354,-12.2994,-12.4292,-15.8973,-17.0541,-17.8316,-18.3836,-18.7887,-15.8973,-16.9628,-17.1329,-16.9194,-16.66
"POLYGON ((-77.2210393621216 38.3923501884776,-77.2394592325311 38.3923147232748,-77.2395061067441 38.4068115070704,-77.2210826306674 38.4068469789864,-77.2210393621216 38.3923501884776))",35,231569,1,17,19,-81,"17",-2.2362,-49.8,POAQ,21120,27878400,34,231569,1,17,19,-49.8,17,POAQ,-67.9971,-68.3952,-68.655,-68.85,-69.0042,-72.7899,-74.1519,-75.0713,-75.725,-76.2052,-72.7901,-74.0444,-74.2496,-74.0011,-73.6964,-18.1971,-18.5952,-18.855,-19.05,-19.2042,-22.9899,-24.3519,-25.2713,-25.925,-26.4052,-22.9901,-24.2444,-24.4496,-24.2011,-23.8964
"POLYGON ((-77.2026194747792 38.3923828164787,-77.2210393621216 38.3923501884776,-77.2210826306674 38.4068469789864,-77.2026591376477 38.4068796131637,-77.2026194747792 38.3923828164787))",38,231570,1,18,19,-93,"18",0.949,-59.6,POAQ,21120,27878400,37,231570,1,18,19,-58,18,POAQ,-74.4869,-74.9451,-75.2448,-75.4694,-75.6469,-79.6356,-81.1893,-82.2425,-82.9925,-83.5437,-79.6359,-81.0667,-81.3064,-81.0265,-80.6802,-16.4869,-16.9451,-17.2448,-17.4694,-17.6469,-21.6356,-23.1893,-24.2425,-24.9925,-25.5437,-21.6359,-23.0667,-23.3064,-23.0265,-22.6802
"POLYGON ((-77.1841995719148 38.3924126072744,-77.2026194747792 38.3923828164787,-77.2026591376477 38.4068796131637,-77.184235629097 38.4069094095986,-77.1841995719148 38.3924126072744))",41,231571,1,19,19,-102,"19",1.6399,-66.4,POAQ,21120,27878400,40,231571,1,19,19,-63.6,19,POAQ,-79.4717,-79.9877,-80.3255,-80.5785,-80.7782,-84.8736,-86.6053,-87.7841,-88.6249,-89.2432,-84.874,-86.4683,-86.7419,-86.4342,-86.0498,-15.8717,-16.3877,-16.7255,-16.9785,-17.1782,-21.2736,-23.0053,-24.1841,-25.0249,-25.6432,-21.274,-22.8683,-23.1419,-22.8342,-22.4498
"POLYGON ((-77.1657796549395 38.3924395608615,-77.1841995719148 38.3924126072744,-77.184235629097 38.4069094095986,-77.1658121064271 38.4069363682877,-77.1657796549395 38.3924395608615))",44,231572,1,20,19,-111,"20",6.0976,-76.6,POAQ,21120,27878400,43,231572,1,20,19,-80,20,POAQ,-83.5804,-84.1556,-84.5323,-84.8141,-85.0363,-89.1739,-91.0818,-92.3862,-93.3179,-94.0036,-89.1743,-90.9305,-91.2393,-90.9055,-90.484,-3.5804,-4.1556,-4.5323,-4.8141,-5.0363,-9.1739,-11.0818,-12.3862,-13.3179,-14.0036,-9.1743,-10.9305,-11.2393,-10.9055,-10.484
