,CPU,WSPA
1,BigSandy_UpperTennessee_1,Big Sandy Upper Tennessee 1
2,BigSandy_UpperTennessee_2,Big Sandy Upper Tennessee River 2
3,Chowan_1,Chowan River 1
4,Chowan_2,Chowan River 2
5,Eastern_Shore,Eastern Shore
6,MiddleJames_1,Middle James River 1
7,MiddleJames_2,Middle James River 2
8,MiddleJames_3,Middle James River 3
9,NewRiver_1,New River 1
10,NewRiver_2,New River 2
11,NorthernCoastalPlain_1,Northern Coastal Plain 1
12,NorthernCoastalPlain_2,Northern Coastal Plain 2
13,NorthernCoastalPlain_3,Northern Coastal Plain 3
14,NorthernPiedmont_1,Northern Piedmont 1
15,NorthernPiedmont_2,Northern Piedmont 2
16,NorthernVirginia,Northern Virginia
17,Roanoke_1,Roanoke River 1
18,Roanoke_2,Roanoke River 2
19,Roanoke_3,Roanoke River 3
20,Shenandoah_1,Shenandoah River 1
21,Shenandoah_2,Shenandoah River 2
22,SoutheastVirginia,Southeast Virginia
23,UpperJames_1,Upper James River 1
24,UpperJames_2,Upper James River 2
25,York_James_1,York and James River 1
26,York_James_2,York and James River 2
