WKT,OBJECTID,IJK,I,J,K,AQ_TOP,IJ,WL_ABV_AQ,Crit_Surf,Unit,SHAPE_Leng,SHAPE_Area,FID_,IJK_1,I_1,J_1,K_1,Critical_S,IJ_1,Unit_1,WSP20_30,WSP20_40,WSP20_50,WSP20_60,WSP20_70,WSP40_30,WSP40_40,WSP40_50,WSP40_60,WSP40_70,WS_SW40_30,WS_SW40_40,WS_SW40_50,WS_SW40_60,WS_SW40_70,A_WSP20_30,A_WSP20_40,A_WSP20_50,A_WSP20_60,A_WSP20_70,A_WSP40_30,A_WSP40_40,A_WSP40_50,A_WSP40_60,A_WSP40_70,A_SW40_30,A_SW40_40,A_SW40_50,A_SW40_60,A_SW40_70
"POLYGON ((-76.8158004280852 38.3924126072744,-76.8342203450605 38.3924395608615,-76.8341878935729 38.4069363682877,-76.815764370903 38.4069094095986,-76.8158004280852 38.3924126072744))",100,77223,1,39,7,-19,"39",-2.93107,12.6,PPAQ,21120,27878400,99,77223,1,39,7,14.8,39,PPAQ,10.7692,10.4766,10.2823,10.1468,10.0476,10.6723,10.1866,9.78576,9.46858,9.22136,10.6725,10.2017,9.93511,9.85558,9.87279,-4.0308,-4.3234,-4.5177,-4.6532,-4.7524,-4.1277,-4.6134,-5.01424,-5.33142,-5.57864,-4.1275,-4.5983,-4.86489,-4.94442,-4.92721
"POLYGON ((-76.7973805252208 38.3923828164787,-76.8158004280852 38.3924126072744,-76.815764370903 38.4069094095986,-76.7973408623523 38.4068796131637,-76.7973805252208 38.3923828164787))",104,77224,1,40,7,-26,"40",3.16732,3.2,PPAQ,21120,27878400,103,77224,1,40,7,9.6,40,PPAQ,7.46731,7.08762,6.83478,6.65838,6.5294,7.35085,6.72778,6.21073,5.8004,5.48013,7.35095,6.746,6.39639,6.28797,6.30661,-2.13269,-2.51238,-2.76522,-2.94162,-3.0706,-2.24915,-2.87222,-3.38927,-3.7996,-4.11987,-2.24905,-2.854,-3.20361,-3.31203,-3.29339
"POLYGON ((-76.8895450188486 38.3490123845679,-76.9079541694615 38.349027980433,-76.9079361619726 38.3635250795798,-76.889523409871 38.3635094807614,-76.8895450188486 38.3490123845679))",1116,77507,4,35,7,-13,"323",-8.70498,16,PPAQ,21120,27878400,1115,77507,4,35,7,17,323,PPAQ,7.35599,7.32598,7.30852,7.29594,7.28638,7.31973,7.25304,7.20609,7.17112,7.14475,7.31968,7.25884,7.24314,7.24805,7.25852,-9.64401,-9.67402,-9.69148,-9.70406,-9.71362,-9.68027,-9.74696,-9.79391,-9.82888,-9.85525,-9.68032,-9.74116,-9.75686,-9.75195,-9.74148
"POLYGON ((-76.8895666193744 38.334515198024,-76.9079721699073 38.3345307909358,-76.9079541694615 38.349027980433,-76.8895450188486 38.3490123845679,-76.8895666193744 38.334515198024))",1461,77603,5,35,7,-18,"419",-3.78173,8.4,PPAQ,21120,27878400,1460,77603,5,35,7,5,419,PPAQ,4.31164,4.27905,4.2595,4.24541,4.23472,4.27663,4.2059,4.15474,4.11623,4.08702,4.27659,4.21161,4.19242,4.19596,4.20636,-0.68836,-0.72095,-0.7405,-0.75459,-0.76528,-0.72337,-0.7941,-0.84526,-0.88377,-0.91298,-0.72341,-0.78839,-0.80758,-0.80404,-0.79364
"POLYGON ((-77.0367823692945 38.2765708939559,-77.0551735504305 38.2765638116345,-77.055184333826 38.2910613574449,-77.0367895582262 38.2910684411085,-77.0367823692945 38.2765708939559))",2838,77979,9,27,7,0,"795",-2.51746,11,PPAQ,21120,27878400,2827,77979,9,27,7,20.8,795,PPAQ,6.80312,6.76313,6.74959,6.74264,6.73816,6.76096,6.70067,6.67408,6.65833,6.64772,6.76095,6.70516,6.69516,6.69662,6.70022,-13.99688,-14.03687,-14.05041,-14.05736,-14.06184,-14.03904,-14.09933,-14.12592,-14.14167,-14.15228,-14.03905,-14.09484,-14.10484,-14.10338,-14.09978
"POLYGON ((-77.0183911853495 38.2765751433491,-77.0367823692945 38.2765708939559,-77.0367895582262 38.2910684411085,-77.0183947798158 38.2910726913069,-77.0183911853495 38.2765751433491))",2842,77980,9,28,7,-12,"796",1.90967,-0.2,PPAQ,21120,27878400,2831,77980,9,28,7,3.4,796,PPAQ,1.72292,1.71667,1.71347,1.71129,1.70962,1.70523,1.68923,1.67952,1.67281,1.66795,1.70519,1.69167,1.69117,1.69412,1.69722,-1.67708,-1.68333,-1.68653,-1.68871,-1.69038,-1.69477,-1.71077,-1.72048,-1.72719,-1.73205,-1.69481,-1.70833,-1.70883,-1.70588,-1.70278
"POLYGON ((-77.0367751831718 38.262073261144,-77.0551627712485 38.2620661801647,-77.0551735504305 38.2765638116345,-77.0367823692945 38.2765708939559,-77.0367751831718 38.262073261144))",3191,78075,10,27,7,5,"891",-4.1377,19.8,PPAQ,21120,27878400,3180,78075,10,27,7,23.4,891,PPAQ,12.608,12.5776,12.564,12.5554,12.5491,12.5383,12.4717,12.4345,12.4097,12.392,12.5382,12.4811,12.4775,12.4872,12.4978,-10.792,-10.8224,-10.836,-10.8446,-10.8509,-10.8617,-10.9283,-10.9655,-10.9903,-11.008,-10.8618,-10.9189,-10.9225,-10.9128,-10.9022
"POLYGON ((-77.0183840006297 38.2475797913932,-77.0367679998565 38.2475755436105,-77.0367751831718 38.262073261144,-77.0183875922877 38.262077509732,-77.0183840006297 38.2475797913932))",3549,78172,11,28,7,2,"988",-13.384054,13.4,PPAQ,21120,27878400,3538,78172,11,28,7,13.6,988,PPAQ,0.015466,0.0154521,0.0154442,0.0154386,0.0154342,0.0154131,0.0153708,0.0153443,0.0153259,0.0153126,0.015413,0.0153787,0.0153802,0.0153902,0.0153999,-13.584534,-13.5845479,-13.5845558,-13.5845614,-13.5845658,-13.5845869,-13.5846292,-13.5846557,-13.5846741,-13.5846874,-13.584587,-13.5846213,-13.5846198,-13.5846098,-13.5846001
"POLYGON ((-77.0183804103744 38.2330819892703,-77.0367608193468 38.2330777422927,-77.0367679998565 38.2475755436105,-77.0183840006297 38.2475797913932,-77.0183804103744 38.2330819892703))",3904,78268,12,28,7,7,"1084",-2.5732,18.2,PPAQ,21120,27878400,3891,78268,12,28,7,17.4,1084,PPAQ,15.7045,15.6941,15.6874,15.6823,15.6783,15.6513,15.6135,15.589,15.5718,15.5592,15.6513,15.6215,15.6246,15.6348,15.6444,-1.6955,-1.7059,-1.7126,-1.7177,-1.7217,-1.7487,-1.7865,-1.811,-1.8282,-1.8408,-1.7487,-1.7785,-1.7754,-1.7652,-1.7556
"POLYGON ((-77.0183768215212 38.2185841043008,-77.0367536416412 38.2185798581283,-77.0367608193468 38.2330777422927,-77.0183804103744 38.2330819892703,-77.0183768215212 38.2185841043008))",4262,78364,13,28,7,11,"1180",0.5375,21,PPAQ,21120,27878400,4249,78364,13,28,7,22.8,1180,PPAQ,21.9493,21.9367,21.9282,21.9216,21.9162,21.8739,21.8244,21.7921,21.7693,21.7526,21.8738,21.8356,21.8408,21.8551,21.8681,-0.8507,-0.8633,-0.8718,-0.8784,-0.8838,-0.9261,-0.9756,-1.0079,-1.0307,-1.0474,-0.9262,-0.9644,-0.9592,-0.9449,-0.9319
