Name,FIPS,Major_Basi,Planner,RPA,CoordOrg
Accomack,51001,Chesapeake Bay,Andrew Noyes,Eastern Shore,A-NPDC
Albemarle,51003,Rappahannock and York Basin,Gouri Mahadwar,Middle James River 1, 
Alleghany,51005,Upper James River Basin,Kati Burton,Upper James River 2,RV-ARC
Amelia,51007,Roanoke Basin,Gouri Mahadwar,Middle James River 3, 
Amherst,51009,Roanoke Basin,Gouri Mahadwar,Middle James River 2, 
Appomattox,51011,Roanoke Basin,Gouri Mahadwar,Middle James River 2, 
Arlington,51013,Potomac Basin,Hannah Somers,Northern Virginia,NVRC
Augusta,51015,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 1,CSPDC
Bath,51017,Upper James River Basin,Gouri Mahadwar,Upper James River 1,CSPDC
Bedford,51019,Roanoke Basin,Kati Burton,Roanoke River 1, 
Bland,51021,New River Basin,Kati Burton,New River 2, 
Botetourt,51023,Upper James River Basin,Kati Burton,Upper James River 2,RV-ARC
Brunswick,51025,Chowan and Dismal,Andrew Noyes,Roanoke River 3, 
Buchanan,51027,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee River 2,CPPDC
Buckingham,51029,Roanoke Basin,Gouri Mahadwar,Middle James River 1, 
Campbell,51031,Roanoke Basin,Gouri Mahadwar,Middle James River 2, 
Caroline,51033,Rappahannock and York Basin,Hannah Somers,Northern Coastal Plain 3, 
Carroll,51035,New River Basin,Kati Burton,New River 2, 
Charles City,51036,James River Basin,Gouri Mahadwar,Middle James River 3,Crater PDC
Charlotte,51037,Roanoke Basin,Andrew Noyes,Chowan River 1, 
Chesterfield,51041,James River Basin,Gouri Mahadwar,Middle James River 3,Crater PDC
Clarke,51043,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 2,NSVRC
Craig,51045,Upper James River Basin,Kati Burton,Upper James River 2,RV-ARC
Culpeper,51047,Rappahannock and York Basin,Hannah Somers,Northern Piedmont 1,RRRC
Cumberland,51049,Roanoke Basin,Gouri Mahadwar,Middle James River 3, 
Dickenson,51051,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee River 2,CPPDC
Dinwiddie,51053,Chowan and Dismal,Gouri Mahadwar,Middle James River 3,Crater PDC
Essex,51057,Rappahannock and York Basin,Hannah Somers,Northern Coastal Plain 2,MPPDC
Fairfax,51059,Potomac Basin,Hannah Somers,Northern Virginia,NVRC
Fauquier,51061,Potomac Basin,Hannah Somers,Northern Piedmont 1,RRRC
Floyd,51063,New River Basin,Kati Burton,New River 1,NRVRC
Fluvanna,51065,Rappahannock and York Basin,Gouri Mahadwar,Middle James River 1, 
Franklin,51067,Roanoke Basin,Kati Burton,Roanoke River 1,RV-ARC
Frederick,51069,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 2,NSVRC
Giles,51071,New River Basin,Kati Burton,New River 1,NRVRC
Gloucester,51073,Rappahannock and York Basin,Andrew Noyes,York and James River 2,HRPDC
Goochland,51075,Rappahannock and York Basin,Gouri Mahadwar,Middle James River 3, 
Grayson,51077,New River Basin,Kati Burton,New River 2, 
Greene,51079,Rappahannock and York Basin,Gouri Mahadwar,Middle James River 1, 
Greensville,51081,Chowan and Dismal,Andrew Noyes,Chowan River 2,Crater PDC
Halifax,51083,Roanoke Basin,Andrew Noyes,Roanoke River 3, 
Hanover,51085,Rappahannock and York Basin,Gouri Mahadwar,Middle James River 3, 
Henrico,51087,James River Basin,Gouri Mahadwar,Middle James River 3, 
Henry,51089,Roanoke Basin,Kati Burton,Roanoke River 2, 
Highland,51091,Upper James River Basin,Gouri Mahadwar,Upper James River 1,CSPDC
Isle of Wight,51093,Chowan and Dismal,Andrew Noyes,Southeast Virginia,HRPDC
James City,51095,James River Basin,Andrew Noyes,York and James River 2,HRPDC
King and Queen,51097,Rappahannock and York Basin,Hannah Somers,Northern Coastal Plain 2,MPPDC
King George,51099,Potomac Basin,Hannah Somers,Northern Coastal Plain 3, 
King William,51101,Rappahannock and York Basin,Hannah Somers,Northern Coastal Plain 2,MPPDC
Lancaster,51103,Potomac Basin,Hannah Somers,Northern Coastal Plain 1, 
Lee,51105,Tennesseee and Big Sandy River Basin,Kati Burton,Big Sandy Upper Tennessee 1, 
Loudoun,51107,Potomac Basin,Hannah Somers,Northern Virginia,NVRC
Louisa,51109,Rappahannock and York Basin,Gouri Mahadwar,Middle James River 1, 
Lunenburg,51111,Roanoke Basin,Andrew Noyes,Chowan River 1, 
Madison,51113,Rappahannock and York Basin,Hannah Somers,Northern Piedmont 1,RRRC
Mathews,51115,Rappahannock and York Basin,Hannah Somers,Northern Coastal Plain 2,MPPDC
Mecklenburg,51117,Roanoke Basin,Andrew Noyes,Roanoke River 3, 
Middlesex,51119,Rappahannock and York Basin,Hannah Somers,Northern Coastal Plain 2,MPPDC
Montgomery,51121,New River Basin,Kati Burton,New River 1,NRVRC
Nelson,51125,Roanoke Basin,Gouri Mahadwar,Middle James River 2, 
New Kent,51127,James River Basin,Andrew Noyes,York and James River 2, 
Northampton,51131,Chesapeake Bay,Andrew Noyes,Eastern Shore,A-NPDC
Northumberland,51133,Potomac Basin,Hannah Somers,Northern Coastal Plain 1, 
Nottoway,51135,Roanoke Basin,Andrew Noyes,Chowan River 1, 
Orange,51137,Rappahannock and York Basin,Hannah Somers,Northern Piedmont 1,RRRC
Page,51139,Shenandoah River Basin,Gouri Mahadwar,Shenandoah River 2,NSVRC
Patrick,51141,New River Basin,Kati Burton,Roanoke River 2, 
Pittsylvania,51143,Roanoke Basin,Kati Burton,Roanoke River 2, 
Powhatan,51145,Roanoke Basin,Gouri Mahadwar,Middle James River 3, 
Prince Edward,51147,Roanoke Basin,Andrew Noyes,Chowan River 1, 
Prince George,51149,James River Basin,Gouri Mahadwar,Middle James River 3,Crater PDC
Prince William,51153,Potomac Basin,Hannah Somers,Northern Virginia,NVRC
Pulaski,51155,New River Basin,Kati Burton,New River 1,NRVRC
Rappahannock,51157,Rappahannock and York Basin,Hannah Somers,Northern Piedmont 1,RRRC
Richmond,51159,Potomac Basin,Hannah Somers,Northern Coastal Plain 1, 
