"","Model"
"Min. 1 Day Min",16.2
"Med. 1 Day Min",32.1
"Min. 3 Day Min",16.4
"Med. 3 Day Min",32.9
"Min. 7 Day Min",17.1
"Med. 7 Day Min",34.3
"Min. 30 Day Min",19.9
"Med. 30 Day Min",45.2
"Min. 90 Day Min",30.4
"Med. 90 Day Min",76.5
"7Q10",19.9
"Year of 90-Day Low Flow",1999
"Drought Year Mean",166.876805735625
"Mean Baseflow",180
