"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0.27,0.408,51.1
"Med. 1 Day Min",1.15,2.22,93
"Min. 3 Day Min",0.3,0.47,56.7
"Med. 3 Day Min",1.22,2.47,102
"Min. 7 Day Min",0.313,0.642,105
"Med. 7 Day Min",1.42,2.95,108
"Min. 30 Day Min",1.09,2.67,145
"Med. 30 Day Min",3.41,5.4,58.4
"Min. 90 Day Min",7,5.85,-16.4
"Med. 90 Day Min",11.2,14.4,28.6
"7Q10",0.467,1.02,118
"Year of 90-Day Low Flow",1986,1998,100
"Drought Year Mean",36.4135068493151,35.3612592810433,-2.89
"Mean Baseflow",25.4,23.5,-7.48
