"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,4.27,Inf
"Med. 1 Day Min",3.1,9.31,200
"Min. 3 Day Min",-2.37e-15,4.28,-1.81e+17
"Med. 3 Day Min",4.33,9.66,123
"Min. 7 Day Min",0,4.3,Inf
"Med. 7 Day Min",5.17,9.75,88.6
"Min. 30 Day Min",-1.21e-13,4.82,-3.98e+15
"Med. 30 Day Min",10.3,14.5,40.8
"Min. 90 Day Min",0,9.33,Inf
"Med. 90 Day Min",43.7,23.3,-46.7
"7Q10",0.000099,5.55,5610000
"Year of 90-Day Low Flow",2005,1999,100
"Drought Year Mean",50.1244047619048,78.5773654653078,56.8
"Mean Baseflow",110,46.8,-57.5
