"","Model"
"Jan. Low Flow",65.9
"Feb. Low Flow",105
"Mar. Low Flow",214
"Apr. Low Flow",222
"May Low Flow",383
"Jun. Low Flow",351
"Jul. Low Flow",281
"Aug. Low Flow",238
"Sep. Low Flow",192
"Oct. Low Flow",110
"Nov. Low Flow",89.2
"Dec. Low Flow",63.6
