riverseg,landseg,floaop,flosoy,flogwm,flogom,flolhy,floswm,flosom,flosgg,flodbl,flosch,floscl,flooac,floohy,flopas,flofsp,flofnp,flonir,flonnr,flonci,flonch,flontg,flomir,flomnr,flomci,flomch,flomtg,flomcn,flocir,flocnr,flocci,flocch,floctg,floccn,flocmo,flocfr,flohfr,flofor,flowfp,flowto,floosp,flostb,flostf,flosho,tnxaop,tnxsoy,tnxgwm,tnxgom,tnxlhy,tnxswm,tnxsom,tnxsgg,tnxdbl,tnxsch,tnxscl,tnxoac,tnxohy,tnxpas,tnxfsp,tnxfnp,tnxnir,tnxnnr,tnxnci,tnxnch,tnxntg,tnxmir,tnxmnr,tnxmci,tnxmch,tnxmtg,tnxmcn,tnxcir,tnxcnr,tnxcci,tnxcch,tnxctg,tnxccn,tnxcmo,tnxcfr,tnxhfr,tnxfor,tnxwfp,tnxwto,tnxosp,tnxstb,tnxstf,tnxsho,tpxaop,tpxsoy,tpxgwm,tpxgom,tpxlhy,tpxswm,tpxsom,tpxsgg,tpxdbl,tpxsch,tpxscl,tpxoac,tpxohy,tpxpas,tpxfsp,tpxfnp,tpxnir,tpxnnr,tpxnci,tpxnch,tpxntg,tpxmir,tpxmnr,tpxmci,tpxmch,tpxmtg,tpxmcn,tpxcir,tpxcnr,tpxcci,tpxcch,tpxctg,tpxccn,tpxcmo,tpxcfr,tpxhfr,tpxfor,tpxwfp,tpxwto,tpxosp,tpxstb,tpxstf,tpxsho,sedaop,sedsoy,sedgwm,sedgom,sedlhy,sedswm,sedsom,sedsgg,seddbl,sedsch,sedscl,sedoac,sedohy,sedpas,sedfsp,sedfnp,sednir,sednnr,sednci,sednch,sedntg,sedmir,sedmnr,sedmci,sedmch,sedmtg,sedmcn,sedcir,sedcnr,sedcci,sedcch,sedctg,sedccn,sedcmo,sedcfr,sedhfr,sedfor,sedwfp,sedwto,sedosp,sedstb,sedstf,sedsho
PM1_3510_4000,H24021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0.827058034,0.833366442,0.833366442,0.833366442,0.827058034,0.833366442,0.833366442,0.833366442,0.833366442,0.833366442,0.833366442,0.833366442,0.827058034,0.827058034,0.657343219,0.657343219,0.819267754,0.819267754,0.819267754,0.819267754,0.819267754,0.819267754,0.819267754,0.819267754,0.819267754,0.819267754,0.819267754,0,0,0,0,0,0,0,0,0.82596919,0.82596919,0.82596919,0.82596919,0.82596919,1,1,1,1.063305518,1.023944012,1.023944012,1.023944012,1.063305518,1.023944012,1.023944012,1.023944012,1.023944012,1.023944012,1.023944012,1.023944012,1.063305518,1.063305518,0.141326034,0.141326034,1.072078551,1.072078551,1.072078551,1.072078551,1.072078551,1.072078551,1.072078551,1.072078551,1.072078551,1.072078551,1.072078551,0,0,0,0,0,0,0,0,1.057158759,1.057158759,1.057158759,1.057158759,1.057158759,1,1,1,0.321246751,0.313468988,0.314445117,0.314436122,0.310430298,0.313912019,0.313912018,0.31376346,0.313143703,0.314237845,0.314488162,0.314254876,0.31007433,0.310313329,0.310313329,0.310313329,0.288253646,0.285391933,0.334933177,0.328962663,0.278960184,0.296826522,0.299670821,0.304964629,0.322507546,0.299836714,0.306773278,0,0,0,0,0,0,0,0,0.35712446,0.357229714,0.357093196,0.341832404,0.304115405,1,1,1
PM3_3040_3340,H24021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0.744828284,0.739404871,0.739404871,0.739404871,0.744828284,0.739404871,0.739404871,0.739404871,0.739404871,0.739404871,0.739404871,0.739404871,0.744828284,0.744828284,0.599782394,0.599782394,0.746268265,0.746268265,0.746268265,0.746268265,0.746268265,0.746268265,0.746268265,0.746268265,0.746268265,0.746268265,0.746268265,0,0,0,0,0,0,0,0,0.745782894,0.745782894,0.745782894,0.745782894,0.745782894,1,1,1,1.184625481,1.18463494,1.18463494,1.18463494,1.184625481,1.18463494,1.18463494,1.18463494,1.18463494,1.18463494,1.18463494,1.18463494,1.184625481,1.184625481,0.173560253,0.173560253,1.184089934,1.184089934,1.184089934,1.184089934,1.184089934,1.184089934,1.184089934,1.184089934,1.184089934,1.184089934,1.184089934,0,0,0,0,0,0,0,0,1.184153001,1.184153001,1.184153001,1.184153001,1.184153001,1,1,1,0.392778748,0.372794734,0.372657512,0.372646852,0.364516691,0.372962604,0.372962604,0.373110669,0.373531775,0.372666034,0.372477157,0.372751454,0.364699966,0.375554235,0.375554235,0.375554235,0.41244509,0.408350433,0.437328408,0.429532597,0.399147625,0.42471151,0.428781249,0.436355846,0.421104032,0.429018616,0.438943735,0,0,0,0,0,0,0,0,0.46812518,0.468263149,0.468084199,0.448080078,0.340486331,1,1,1
PM4_3340_3341,H24021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0.74791884,0.751725927,0.751725927,0.751725927,0.74791884,0.751725927,0.751725927,0.751725927,0.751725927,0.751725927,0.751725927,0.751725927,0.74791884,0.74791884,0.601945783,0.601945783,0.784512877,0.784512877,0.784512877,0.784512877,0.784512877,0.784512877,0.784512877,0.784512877,0.784512877,0.784512877,0.784512877,0,0,0,0,0,0,0,0,0.818473322,0.818473322,0.818473322,0.818473322,0.818473322,1,1,1,1.136631844,1.119516355,1.119516355,1.119516355,1.136631844,1.119516355,1.119516355,1.119516355,1.119516355,1.119516355,1.119516355,1.119516355,1.136631844,1.136631844,0.170665007,0.170665007,0.98367533,0.98367533,0.98367533,0.98367533,0.98367533,0.98367533,0.98367533,0.98367533,0.98367533,0.98367533,0.98367533,0,0,0,0,0,0,0,0,0.915398234,0.915398234,0.915398234,0.915398234,0.915398234,1,1,1,0.364337827,0.33333032,0.332744119,0.332734601,0.342135484,0.333145961,0.333145961,0.333221232,0.333375954,0.332798113,0.332575428,0.332889899,0.342415645,0.348611227,0.348611227,0.348611227,0.335179308,0.331851728,0.34724385,0.341053885,0.324372936,0.345147787,0.348455118,0.35461072,0.334361506,0.348648017,0.356713805,0,0,0,0,0,0,0,0,0.381322759,0.381435145,0.381289377,0.364994533,0.378791634,1,1,1
PU2_4720_4750,H24023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1.294395977,1.291510449,1.291510449,1.291510449,1.294395977,1.291510449,1.291510449,1.291510449,1.291510449,1.291510449,1.291510449,1.291510449,1.294395977,1.294395977,0.984479779,0.984479779,1.291533884,1.291533884,1.291533884,1.291533884,1.291533884,1.291533884,1.291533884,1.291533884,1.291533884,1.291533884,1.291533884,0,0,0,0,0,0,0,0,1.291693435,1.291693435,1.291693435,1.291693435,1.291693435,1,1,1,0.643855814,0.643870246,0.643870246,0.643870246,0.643855814,0.643870246,0.643870246,0.643870246,0.643870246,0.643870246,0.643870246,0.643870246,0.643855814,0.643855814,0.073889888,0.073889888,0.6443493,0.6443493,0.6443493,0.6443493,0.6443493,0.6443493,0.6443493,0.6443493,0.6443493,0.6443493,0.6443493,0,0,0,0,0,0,0,0,0.643535521,0.643535521,0.643535521,0.643535521,0.643535521,1,1,1,0.347046185,0.347081847,0.347083529,0.347084371,0.340600019,0.346948224,0.346948224,0.346771349,0.346856912,0.346863619,0.346875902,0.346944114,0.340627186,0.327607331,0.327607331,0.327607331,0.352218084,0.352218084,0.377172603,0.377172603,0.352218083,0.352218084,0.352218084,0.352218084,0.377172603,0.352218083,0.352218083,0,0,0,0,0,0,0,0,0.384834739,0.384834739,0.384834739,0.384834739,0.357644658,1,1,1
PU3_4451_4450,H24023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1.308458537,1.308603663,1.308603663,1.308603663,1.308458537,1.308603663,1.308603663,1.308603663,1.308603663,1.308603663,1.308603663,1.308603663,1.308458537,1.308458537,0.994323571,0.994323571,1.306402671,1.306402671,1.306402671,1.306402671,1.306402671,1.306402671,1.306402671,1.306402671,1.306402671,1.306402671,1.306402671,0,0,0,0,0,0,0,0,1.308356843,1.308356843,1.308356843,1.308356843,1.308356843,1,1,1,0.642331818,0.642306603,0.642306603,0.642306603,0.642331818,0.642306603,0.642306603,0.642306603,0.642306603,0.642306603,0.642306603,0.642306603,0.642331818,0.642331818,0.070858595,0.070858595,0.642565593,0.642565593,0.642565593,0.642565593,0.642565593,0.642565593,0.642565593,0.642565593,0.642565593,0.642565593,0.642565593,0,0,0,0,0,0,0,0,0.642310432,0.642310432,0.642310432,0.642310432,0.642310432,1,1,1,0.436176524,0.398863086,0.398167057,0.398168023,0.436278112,0.399960319,0.399960319,0.402213563,0.400936581,0.40106489,0.400886092,0.399979927,0.436146561,0.433887542,0.433887542,0.433887542,0.345646979,0.345646979,0.345646979,0.345646979,0.345646979,0.345646979,0.345646979,0.345646979,0.345646979,0.345646979,0.345646979,0,0,0,0,0,0,0,0,0.34564698,0.34564698,0.34564698,0.34564698,0.345646979,1,1,1
SJ2_2530_2820,H42013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1.234536255,1.236799398,1.236799398,1.236799398,1.234536255,1.236799398,1.236799398,1.236799398,1.236799398,1.236799398,1.236799398,1.236799398,1.234536255,1.234536255,0.942577973,0.942577973,1.245356043,1.245356043,1.245356043,1.245356043,1.245356043,1.245356043,1.245356043,1.245356043,1.245356043,1.245356043,1.245356043,0,0,0,0,0,0,0,0,1.241312504,1.241312504,1.241312504,1.241312504,1.241312504,1,1,1,0.76196838,0.758314597,0.758314597,0.758314597,0.76196838,0.758314597,0.758314597,0.758314597,0.758314597,0.758314597,0.758314597,0.758314597,0.76196838,0.76196838,0.072305479,0.072305479,0.749754121,0.749754121,0.749754121,0.749754121,0.749754121,0.749754121,0.749754121,0.749754121,0.749754121,0.749754121,0.749754121,0,0,0,0,0,0,0,0,0.751780824,0.751780824,0.751780824,0.751780824,0.751780824,1,1,1,0.267906868,0.243981758,0.243972465,0.24404706,0.251391973,0.244583951,0.244583952,0.246704953,0.24421251,0.245325893,0.245340777,0.243956778,0.251284201,0.257594756,0.257594756,0.257594756,0.279107757,0.265244642,0.140016156,0.123271689,0.273520293,0.524279611,0.532420613,0.532095278,0.357113234,0.545719452,0.264550368,0,0,0,0,0,0,0,0,0.349686981,0.349079269,0.360952273,0.354837998,0.332439501,1,1,1
SJ3_2040_1980,H42013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1.425019155,1.44266249,1.44266249,1.44266249,1.425019155,1.44266249,1.44266249,1.44266249,1.44266249,1.44266249,1.44266249,1.44266249,1.425019155,1.425019155,1,1,1.404930288,1.404930288,1.404930288,1.404930288,1.404930288,1.404930288,1.404930288,1.404930288,1.404930288,1.404930288,1.404930288,0,0,0,0,0,0,0,0,1.451841999,1.451841999,1.451841999,1.451841999,1.451841999,1,1,1,0.781398926,0.720308027,0.720308027,0.720308027,0.781398926,0.720308027,0.720308027,0.720308027,0.720308027,0.720308027,0.720308027,0.720308027,0.781398926,0.781398926,0.063356456,0.063356456,0.839636802,0.839636802,0.839636802,0.839636802,0.839636802,0.839636802,0.839636802,0.839636802,0.839636802,0.839636802,0.839636802,0,0,0,0,0,0,0,0,0.706049725,0.706049725,0.706049725,0.706049725,0.706049725,1,1,1,0.239445822,0.249650239,0.249369335,0.24944558,0.25248271,0.248688887,0.248688888,0.251014089,0.247459636,0.249415004,0.24952945,0.24907289,0.252415234,0.254313364,0.254313364,0.254313364,0.161471435,0.153451246,0.130125893,0.114564197,0.158238935,0.303310028,0.308019819,0.307831604,0.331887973,0.315713559,0.15304959,0,0,0,0,0,0,0,0,0.233425972,0.233020307,0.240945874,0.236864422,0.085333398,1,1,1
SJ3_2250_2230,H42013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1.300946442,1.314535221,1.314535221,1.314535221,1.300946442,1.314535221,1.314535221,1.314535221,1.314535221,1.314535221,1.314535221,1.314535221,1.300946442,1.300946442,0.989065104,0.989065104,1.34636109,1.34636109,1.34636109,1.34636109,1.34636109,1.34636109,1.34636109,1.34636109,1.34636109,1.34636109,1.34636109,0,0,0,0,0,0,0,0,1.347593178,1.347593178,1.347593178,1.347593178,1.347593178,1,1,1,0.700421729,0.699890047,0.699890047,0.699890047,0.700421729,0.699890047,0.699890047,0.699890047,0.699890047,0.699890047,0.699890047,0.699890047,0.700421729,0.700421729,0.056186428,0.056186428,0.707167474,0.707167474,0.707167474,0.707167474,0.707167474,0.707167474,0.707167474,0.707167474,0.707167474,0.707167474,0.707167474,0,0,0,0,0,0,0,0,0.69179258,0.69179258,0.69179258,0.69179258,0.69179258,1,1,1,0.479895071,0.510255954,0.512169179,0.512325776,0.52849284,0.511479358,0.51147936,0.511851034,0.50634644,0.512074191,0.512309125,0.511622605,0.527635105,0.529169979,0.529169979,0.529169979,0.436262951,0.414594033,0.476623883,0.419624654,0.427529394,0.819481956,0.832206854,0.831698334,1.215636114,0.852993774,0.413508839,0,0,0,0,0,0,0,0,0.448058746,0.447280077,0.46249312,0.454658815,0.353619278,1,1,1
SW3_1870_1800,H42013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1.461935046,1.462410292,1.462410292,1.462410292,1.461935046,1.462410292,1.462410292,1.462410292,1.462410292,1.462410292,1.462410292,1.462410292,1.461935046,1.461935046,1,1,1.460292945,1.460292945,1.460292945,1.460292945,1.460292945,1.460292945,1.460292945,1.460292945,1.460292945,1.460292945,1.460292945,0,0,0,0,0,0,0,0,1.462859353,1.462859353,1.462859353,1.462859353,1.462859353,1,1,1,0.676381494,0.676186793,0.676186793,0.676186793,0.676381494,0.676186793,0.676186793,0.676186793,0.676186793,0.676186793,0.676186793,0.676186793,0.676381494,0.676381494,0.053668733,0.053668733,0.676787943,0.676787943,0.676787943,0.676787943,0.676787943,0.676787943,0.676787943,0.676787943,0.676787943,0.676787943,0.676787943,0,0,0,0,0,0,0,0,0.676073565,0.676073565,0.676073565,0.676073565,0.676073565,1,1,1,0.03395155,0.046325127,0.046485777,0.04649999,0.035177045,0.046168741,0.046168741,0.046067392,0.045577876,0.04617768,0.04621468,0.046387535,0.035100887,0.035681164,0.035681164,0.035681164,0.052884776,0.050258021,0.037203226,0.03275411,0.051826075,0.099339446,0.100881986,0.100820342,0.094887367,0.103401823,0.050126471,0,0,0,0,0,0,0,0,0.074086,0.073957248,0.076472707,0.075177314,0.035473672,1,1,1
SL3_1710_1740,H42027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1.43821986,1.426345145,1.426345145,1.426345145,1.43821986,1.426345145,1.426345145,1.426345145,1.426345145,1.426345145,1.426345145,1.426345145,1.43821986,1.43821986,1,1,1.456394774,1.456394774,1.456394774,1.456394774,1.456394774,1.456394774,1.456394774,1.456394774,1.456394774,1.456394774,1.456394774,0,0,0,0,0,0,0,0,1.46606219,1.46606219,1.46606219,1.46606219,1.46606219,1,1,1,0.718397861,0.709742838,0.709742838,0.709742838,0.718397861,0.709742838,0.709742838,0.709742838,0.709742838,0.709742838,0.709742838,0.709742838,0.718397861,0.718397861,0.066784821,0.066784821,0.69204914,0.69204914,0.69204914,0.69204914,0.69204914,0.69204914,0.69204914,0.69204914,0.69204914,0.69204914,0.69204914,0,0,0,0,0,0,0,0,0.681123372,0.681123372,0.681123372,0.681123372,0.681123372,1,1,1,0.363567622,0.35240925,0.35249006,0.352492852,0.34906437,0.352461137,0.352461129,0.352379866,0.352387389,0.352401907,0.352432946,0.352478293,0.349064261,0.339175569,0.339175569,0.339175569,0.354178026,0.347511849,0.423746913,0.395772996,0.352573686,0.357454465,0.357454465,0.357454465,0.468295826,0.357454465,0.355581961,0,0,0,0,0,0,0,0,0.413772537,0.41377252,0.415107424,0.431255626,0.380947661,1,1,1
