"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0.41,0.323,-21.2
"Med. 1 Day Min",5.6,2.46,-56.1
"Min. 3 Day Min",0.43,0.332,-22.8
"Med. 3 Day Min",5.93,2.59,-56.3
"Min. 7 Day Min",0.666,0.355,-46.7
"Med. 7 Day Min",6.46,2.93,-54.6
"Min. 30 Day Min",1.66,1.06,-36.1
"Med. 30 Day Min",8.42,10.3,22.3
"Min. 90 Day Min",5.39,5,-7.24
"Med. 90 Day Min",31.1,48.1,54.7
"7Q10",1.96,0.771,-60.7
"Year of 90-Day Low Flow",1999,1999,0
"Drought Year Mean",80.4813698630137,96.2603433979103,19.6
"Mean Baseflow",56.5,80.1,41.8
