"","agency_cd","site_no","Date","Flow","Flow_cd"
"1","USGS","01663500",1984-01-01,506,"A"
"2","USGS","01663500",1984-01-02,470,"A"
"3","USGS","01663500",1984-01-03,442,"A"
"4","USGS","01663500",1984-01-04,421,"A"
"5","USGS","01663500",1984-01-05,375,"A"
"6","USGS","01663500",1984-01-06,370,"A"
"7","USGS","01663500",1984-01-07,352,"A"
"8","USGS","01663500",1984-01-08,327,"A"
"9","USGS","01663500",1984-01-09,310,"A"
"10","USGS","01663500",1984-01-10,347,"A"
"11","USGS","01663500",1984-01-11,706,"A"
"12","USGS","01663500",1984-01-12,380,"A"
"13","USGS","01663500",1984-01-13,360,"A"
"14","USGS","01663500",1984-01-14,411,"A"
"15","USGS","01663500",1984-01-15,342,"A"
"16","USGS","01663500",1984-01-16,311,"A"
"17","USGS","01663500",1984-01-17,302,"A"
"18","USGS","01663500",1984-01-18,300,"A"
"19","USGS","01663500",1984-01-19,301,"A"
"20","USGS","01663500",1984-01-20,238,"A"
"21","USGS","01663500",1984-01-21,280,"A"
"22","USGS","01663500",1984-01-22,235,"A"
"23","USGS","01663500",1984-01-23,327,"A"
"24","USGS","01663500",1984-01-24,315,"A"
"25","USGS","01663500",1984-01-25,434,"A"
"26","USGS","01663500",1984-01-26,742,"A"
"27","USGS","01663500",1984-01-27,646,"A"
"28","USGS","01663500",1984-01-28,479,"A"
"29","USGS","01663500",1984-01-29,387,"A"
"30","USGS","01663500",1984-01-30,359,"A"
"31","USGS","01663500",1984-01-31,337,"A"
"32","USGS","01663500",1984-02-01,300,"A"
"33","USGS","01663500",1984-02-02,293,"A"
"34","USGS","01663500",1984-02-03,320,"A"
"35","USGS","01663500",1984-02-04,511,"A"
"36","USGS","01663500",1984-02-05,478,"A"
"37","USGS","01663500",1984-02-06,460,"A"
"38","USGS","01663500",1984-02-07,364,"A"
"39","USGS","01663500",1984-02-08,322,"A"
"40","USGS","01663500",1984-02-09,328,"A"
"41","USGS","01663500",1984-02-10,312,"A"
"42","USGS","01663500",1984-02-11,312,"A"
"43","USGS","01663500",1984-02-12,330,"A"
"44","USGS","01663500",1984-02-13,341,"A"
"45","USGS","01663500",1984-02-14,9930,"A"
"46","USGS","01663500",1984-02-15,10200,"A"
"47","USGS","01663500",1984-02-16,2430,"A"
"48","USGS","01663500",1984-02-17,1650,"A"
"49","USGS","01663500",1984-02-18,1360,"A"
"50","USGS","01663500",1984-02-19,1070,"A"
"51","USGS","01663500",1984-02-20,898,"A"
"52","USGS","01663500",1984-02-21,757,"A"
"53","USGS","01663500",1984-02-22,663,"A"
"54","USGS","01663500",1984-02-23,675,"A"
"55","USGS","01663500",1984-02-24,1460,"A"
"56","USGS","01663500",1984-02-25,1070,"A"
"57","USGS","01663500",1984-02-26,881,"A"
"58","USGS","01663500",1984-02-27,773,"A"
"59","USGS","01663500",1984-02-28,1040,"A"
"60","USGS","01663500",1984-02-29,986,"A"
"61","USGS","01663500",1984-03-01,802,"A"
"62","USGS","01663500",1984-03-02,724,"A"
