"","Model"
"Jan. Low Flow",49
"Feb. Low Flow",67.2
"Mar. Low Flow",91.5
"Apr. Low Flow",125
"May Low Flow",162
"Jun. Low Flow",159
"Jul. Low Flow",135
"Aug. Low Flow",116
"Sep. Low Flow",91.8
"Oct. Low Flow",68.8
"Nov. Low Flow",66.2
"Dec. Low Flow",56.5
