"","Model"
"Jan. Low Flow",412
"Feb. Low Flow",449
"Mar. Low Flow",782
"Apr. Low Flow",918
"May Low Flow",1340
"Jun. Low Flow",1190
"Jul. Low Flow",801
"Aug. Low Flow",648
"Sep. Low Flow",631
"Oct. Low Flow",451
"Nov. Low Flow",432
"Dec. Low Flow",412
