"","RIVSEG"
"1","NR1_7880_8050"
"2","NR1_8030_8051"
"3","NR1_8820_8760"
"4","NR1_8960_8870"
"5","NR1_9030_9080"
"6","NR1_9150_9050"
"7","NR2_8210_8180"
"8","NR2_8600_8700"
"9","NR2_9250_9170"
"10","NR3_8290_8170"
"11","NR3_8420_8430"
"12","NR3_8430_7820"
"13","NR3_8690_8500"
"14","NR3_8740_8500"
"15","NR3_9170_9130"
"16","NR3_9190_9170"
"17","NR3_9240_9130"
"18","NR3_9310_9240"
"19","NR4_9130_9080"
"20","NR5_8700_8640"
"21","NR5_8760_8640"
"22","NR5_8870_8760"
"23","NR5_9050_8870"
"24","NR5_9080_9050"
"25","NR6_7820_7960"
"26","NR6_7960_8050"
"27","NR6_8000_0000"
"28","NR6_8050_8051"
"29","NR6_8051_8000"
"30","NR6_8170_7960"
"31","NR6_8180_8051"
"32","NR6_8500_7820"
"33","NR6_8640_8500"
