"","RIVSEG"
"1","MN1_7590_7860"
"2","MN3_7540_7680"
"3","MN3_7680_7860"
"4","MN3_7860_8080"
"5","MN4_7810_8080"
"6","MN4_8080_8110"
"7","MN4_8110_0000"
