"","RIVSEG"
"1","OD1_8910_8930"
"2","OD1_9270_9110"
"3","OD2_8560_8630"
"4","OD2_8670_8890"
"5","OD2_8830_8710"
"6","OD2_8840_9020"
"7","OD2_8920_8830"
"8","OD3_8340_8520"
"9","OD3_8520_8621"
"10","OD3_8630_8720"
"11","OD3_8710_8470"
"12","OD3_8720_8900"
"13","OD3_8850_8931"
"14","OD3_8930_8931"
"15","OD3_8931_9140"
"16","OD3_9020_9110"
"17","OD4_8990_8900"
"18","OD4_9110_9140"
"19","OD4_9140_8990"
"20","OD5_8770_8780"
"21","OD5_8780_8660"
"22","OD5_8890_8770"
"23","OD5_8900_8770"
"24","OD5_8940_8780"
"25","OD6_8621_8470"
"26","OD6_8660_8621"
"27","OR1_7700_7980"
"28","OR1_8280_8020"
"29","OR1_8320_8271"
"30","OR2_7610_7780"
"31","OR2_7650_8070"
"32","OR2_7670_7840"
"33","OR2_7780_7890"
"34","OR2_7840_7970"
"35","OR2_7900_7740"
"36","OR2_8020_8130"
"37","OR2_8070_8120"
"38","OR2_8130_7900"
"39","OR2_8450_8490"
"40","OR2_8460_8271"
"41","OR3_7740_8271"
"42","OR4_8120_7890"
"43","OR4_8271_8120"
"44","OR5_7890_7970"
"45","OR5_7910_8410"
"46","OR5_7970_8200"
"47","OR5_7980_8200"
"48","OR5_8200_8370"
"49","OR5_8370_8410"
"50","OR5_8410_8470"
"51","OR7_8470_8490"
"52","OR7_8490_0000"
