"","RIVSEG"
"1","TU1_9220_9200"
"2","TU2_8790_9070"
"3","TU2_8950_9040"
"4","TU2_9070_9090"
"5","TU2_9100_9200"
"6","TU2_9200_9180"
"7","TU3_9040_9180"
"8","TU3_9180_9090"
"9","TU4_9090_0000"
