"","RIVSEG"
"1","30"
"2","31"
"3","32"
"4","34"
"5","35"
"6","36"
"7","39"
"8","40"
"9","44"
"10","46"
"11","49"
"12","JL1_6910_6960"
"13","JL1_7190_7250"
"14","JL1_7200_7250"
"15","JL2_6440_6441"
"16","JL2_6441_6520"
"17","JL2_6850_6890"
"18","JL2_7120_6970"
"19","JL2_7250_7090"
"20","JL2_7350_7090"
"21","JL3_7090_7150"
"22","JL4_6520_6710"
"23","JL4_6710_6740"
"24","JL6_6740_7100"
"25","JL6_6890_6990"
"26","JL6_6960_6970"
"27","JL6_6970_6740"
"28","JL6_6990_6960"
"29","JL6_7150_6890"
"30","JL6_7320_7150"
"31","JL6_7430_7320"
"32","JL7_6800_7070"
"33","JL7_7030_6800"
"34","JL7_7070_0001"
"35","JL7_7100_7030"
