"","RIVSEG"
"1","16"
"2","17"
"3","18"
"4","19"
"5","JA2_7570_7480"
"6","JA4_7280_7340"
"7","JA4_7340_7470"
"8","JA4_7470_7480"
"9","JA5_7480_0001"
