"","RIVSEG"
"1","TU1_8570_8680"
"2","TU2_8860_9000"
"3","TU2_8970_9280"
"4","TU3_8480_8680"
"5","TU4_8680_8810"
"6","TU4_8810_9000"
"7","TU5_9000_9280"
"8","TU5_9280_0000"
