"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,1,Inf
"Med. 1 Day Min",0.545,4.29,687
"Min. 3 Day Min",-3.8e-16,1.05,-2.76e+17
"Med. 3 Day Min",0.653,4.63,609
"Min. 7 Day Min",-1.07e-15,1.25,-1.17e+17
"Med. 7 Day Min",0.848,5.3,525
"Min. 30 Day Min",0.000333,3.04,913000
"Med. 30 Day Min",3.33,11.7,251
"Min. 90 Day Min",1.64,8.06,391
"Med. 90 Day Min",15.4,36.7,138
"7Q10",0.0000385,1.88,4880000
"Year of 90-Day Low Flow",1985,1991,100
"Drought Year Mean",51.9761807580175,67.8566474454379,30.6
"Mean Baseflow",60.1,60.3,0.333
