"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",22,9.53,-56.7
"Med. 1 Day Min",31,22.1,-28.7
"Min. 3 Day Min",22.1,10.2,-53.8
"Med. 3 Day Min",32,22.7,-29.1
"Min. 7 Day Min",22.3,11,-50.7
"Med. 7 Day Min",33,23.8,-27.9
"Min. 30 Day Min",25.4,13.7,-46.1
"Med. 30 Day Min",36.6,33.5,-8.47
"Min. 90 Day Min",31.1,21.4,-31.2
"Med. 90 Day Min",50,52.5,5
"7Q10",26.4,12.5,-52.7
"Year of 90-Day Low Flow",1999,1999,0
"Drought Year Mean",71.1260273972603,93.9295010356589,32.1
"Mean Baseflow",79,82.2,4.05
