"","Model"
"1% Non-Exceedance",3.31
"5% Non-Exceedance",12.9
"50% Non-Exceedance",183
"95% Non-Exceedance",985
"99% Non-Exceedance",2250
"Sept. 10% Non-Exceedance",6.62
