"","Model"
"Overall Mean Flow",309
"Jan. Mean Flow",440
"Feb. Mean Flow",587
"Mar. Mean Flow",577
"Apr. Mean Flow",421
"May Mean Flow",341
"Jun. Mean Flow",245
"Jul. Mean Flow",141
"Aug. Mean Flow",130
"Sep. Mean Flow",157
"Oct. Mean Flow",161
"Nov. Mean Flow",217
"Dec. Mean Flow",314
