"","Model"
"Min. 1 Day Min",0.012
"Med. 1 Day Min",3.37
"Min. 3 Day Min",0.0362
"Med. 3 Day Min",5.11
"Min. 7 Day Min",0.518
"Med. 7 Day Min",6.1
"Min. 30 Day Min",3.81
"Med. 30 Day Min",21.1
"Min. 90 Day Min",14.8
"Med. 90 Day Min",65.6
"7Q10",1.06
"Year of 90-Day Low Flow",1988
"Drought Year Mean",109.602111851947
"Mean Baseflow",156
