"","Model"
"Min. 1 Day Min",3.12
"Med. 1 Day Min",20.5
"Min. 3 Day Min",3.23
"Med. 3 Day Min",20.8
"Min. 7 Day Min",3.51
"Med. 7 Day Min",22.2
"Min. 30 Day Min",6.33
"Med. 30 Day Min",34.8
"Min. 90 Day Min",15.7
"Med. 90 Day Min",57.3
"7Q10",8.41
"Year of 90-Day Low Flow",2002
"Drought Year Mean",36.6509821574663
"Mean Baseflow",111
