"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0.72,0.000107,100
"Med. 1 Day Min",1.8,0.0374,97.9
"Min. 3 Day Min",0.733,0.000118,100
"Med. 3 Day Min",1.84,0.0655,96.4
"Min. 7 Day Min",0.744,0.000146,100
"Med. 7 Day Min",1.96,0.205,89.5
"Min. 30 Day Min",0.954,0.0722,92.4
"Med. 30 Day Min",2.83,1.18,58.3
"Min. 90 Day Min",2.03,0.947,53.3
"Med. 90 Day Min",9.41,7.57,19.6
"7Q10",1.14,0.000515,100
"Year of 90-Day Low Flow",2002,1986,100
"Drought Year Mean",20.732301369863,29.0765330538413,-40.2
"Mean Baseflow",22.2,22.3,-0.45
