"","Model"
"Min. 1 Day Min",0.693
"Med. 1 Day Min",9.06
"Min. 3 Day Min",0.806
"Med. 3 Day Min",9.85
"Min. 7 Day Min",1.11
"Med. 7 Day Min",11.5
"Min. 30 Day Min",4.92
"Med. 30 Day Min",27
"Min. 90 Day Min",24.9
"Med. 90 Day Min",106
"7Q10",3.37
"Year of 90-Day Low Flow",1993
"Drought Year Mean",585.501547393668
"Mean Baseflow",251
