"","Model"
"Overall Mean Flow",512
"Jan. Mean Flow",710
"Feb. Mean Flow",859
"Mar. Mean Flow",917
"Apr. Mean Flow",693
"May Mean Flow",408
"Jun. Mean Flow",260
"Jul. Mean Flow",195
"Aug. Mean Flow",374
"Sep. Mean Flow",618
"Oct. Mean Flow",313
"Nov. Mean Flow",333
"Dec. Mean Flow",487
