"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,0,NA
"Med. 1 Day Min",0.32,0.0906,-71.7
"Min. 3 Day Min",0.00667,-3.77e-14,-100
"Med. 3 Day Min",0.358,0.165,-53.9
"Min. 7 Day Min",0.0143,-2.12e-14,-100
"Med. 7 Day Min",0.461,0.329,-28.6
"Min. 30 Day Min",0.0813,0.206,153
"Med. 30 Day Min",0.978,1.94,98.4
"Min. 90 Day Min",0.615,2.31,276
"Med. 90 Day Min",6.4,7.07,10.5
"7Q10",0.0298,0.000196,-99.3
"Year of 90-Day Low Flow",1998,1991,100
"Drought Year Mean",0.615333333333333,3.30531548338054,437
"Mean Baseflow",13.5,12.8,-5.19
