"","Model"
"Min. 1 Day Min",7.36
"Med. 1 Day Min",39.6
"Min. 3 Day Min",7.51
"Med. 3 Day Min",42.4
"Min. 7 Day Min",8.29
"Med. 7 Day Min",48
"Min. 30 Day Min",12.7
"Med. 30 Day Min",63.8
"Min. 90 Day Min",34.3
"Med. 90 Day Min",122
"7Q10",15.6
"Year of 90-Day Low Flow",2002
"Drought Year Mean",231.56160399437
"Mean Baseflow",329
