"","Model"
"1% Non-Exceedance",2.87
"5% Non-Exceedance",11.8
"50% Non-Exceedance",175
"95% Non-Exceedance",937
"99% Non-Exceedance",2140
"Sept. 10% Non-Exceedance",6.15
