"","Model"
"Min. 1 Day Min",1.74
"Med. 1 Day Min",11.1
"Min. 3 Day Min",1.92
"Med. 3 Day Min",11.6
"Min. 7 Day Min",2.43
"Med. 7 Day Min",13.3
"Min. 30 Day Min",6.97
"Med. 30 Day Min",32.1
"Min. 90 Day Min",23.5
"Med. 90 Day Min",75.5
"7Q10",5.45
"Year of 90-Day Low Flow",1988
"Drought Year Mean",117.317098530265
"Mean Baseflow",203
