"","segment","gage","gageDA","segDA","error","upsegs"
"1","EL1_5430_0001",1485500,44.9,45.38,-1.0711,"EL1_5150_0001+EL0_5400_0001+EL1_5430_0001"
"2","EL2_4400_4590",1488500,46.8,47.55,-1.6034,"EL2_4400_4590"
"3","EM2_3980_0001",1491000,113,114.19,-1.0504,"EL1_5150_0001+EL0_5400_0001+EL1_5430_0001+EL1_5570_0001+EL1_6000_0001+EM2_3980_0001"
"4","EU0_3830_0001",1493000,19.7,20.08,-1.9152,"EL1_5150_0001+EL0_5400_0001+EL1_5430_0001+EL1_5570_0001+EL1_6000_0001+EM2_3980_0001+EM2_4100_0001+EU1_2650_0001+EU1_2810_0001+EU2_3520_0001+EU0_3830_0001"
"5","EU1_2650_0001",1495000,51.6,53.21,-3.1217,"EL1_5150_0001+EL0_5400_0001+EL1_5430_0001+EL1_5570_0001+EL1_6000_0001+EM2_3980_0001+EM2_4100_0001+EU1_2650_0001"
"6","JA2_7550_7280",2039500,302,312.81,-3.5805,"JA1_7600_7570+JA1_7640_7280+JA2_7410_7470+JA2_7550_7280"
"7","JB3_6820_7053",2042500,251,251.24,-0.0956,"JB3_6820_7053"
"8","JL1_6560_6440",2031000,95.3,95.35,-0.0555,"JL1_6560_6440"
"9","JL2_6240_6520",2032680,174,177.19,-1.8316,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190+JL1_7170_6800+JL1_7190_7250+JL1_7200_7250+JL1_7530_7430+JL2_6240_6520"
"10","JU1_6300_6650",2015700,110,110.4,-0.3673,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190+JL1_7170_6800+JL1_7190_7250+JL1_7200_7250+JL1_7530_7430+JL2_6240_6520+JL2_6440_6441+JL2_6441_6520+JL2_6850_6890+JL2_7110_7120+JL2_7120_6970+JL2_7240_7350+JL2_7250_7090+JL2_7350_7090+JL3_7020_7100+JL3_7090_7150+JL4_6520_6710+JL4_6710_6740+JL6_6740_7100+JL6_6890_6990+JL6_6960_6970+JL6_6970_6740+JL6_6990_6960+JL6_7150_6890+JL6_7160_7440+JL6_7320_7150+JL6_7430_7320+JL6_7440_7430+JL7_6800_7070+JL7_7030_6800+JL7_7070_0001+JL7_7100_7030+JU1_6290_6590+JU1_6300_6650"
"11","JU1_7630_7490",2017500,105,105.15,-0.1391,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190+JL1_7170_6800+JL1_7190_7250+JL1_7200_7250+JL1_7530_7430+JL2_6240_6520+JL2_6440_6441+JL2_6441_6520+JL2_6850_6890+JL2_7110_7120+JL2_7120_6970+JL2_7240_7350+JL2_7250_7090+JL2_7350_7090+JL3_7020_7100+JL3_7090_7150+JL4_6520_6710+JL4_6710_6740+JL6_6740_7100+JL6_6890_6990+JL6_6960_6970+JL6_6970_6740+JL6_6990_6960+JL6_7150_6890+JL6_7160_7440+JL6_7320_7150+JL6_7430_7320+JL6_7440_7430+JL7_6800_7070+JL7_7030_6800+JL7_7070_0001+JL7_7100_7030+JU1_6290_6590+JU1_6300_6650+JU1_6340_6650+JU1_6590_6600+JU1_6880_7260+JU1_7560_7500+JU1_7630_7490"
"12","JU2_6410_6640",2020500,141,141.52,-0.3702,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190+JL1_7170_6800+JL1_7190_7250+JL1_7200_7250+JL1_7530_7430+JL2_6240_6520+JL2_6440_6441+JL2_6441_6520+JL2_6850_6890+JL2_7110_7120+JL2_7120_6970+JL2_7240_7350+JL2_7250_7090+JL2_7350_7090+JL3_7020_7100+JL3_7090_7150+JL4_6520_6710+JL4_6710_6740+JL6_6740_7100+JL6_6890_6990+JL6_6960_6970+JL6_6970_6740+JL6_6990_6960+JL6_7150_6890+JL6_7160_7440+JL6_7320_7150+JL6_7430_7320+JL6_7440_7430+JL7_6800_7070+JL7_7030_6800+JL7_7070_0001+JL7_7100_7030+JU1_6290_6590+JU1_6300_6650+JU1_6340_6650+JU1_6590_6600+JU1_6880_7260+JU1_7560_7500+JU1_7630_7490+JU1_7690_7490+JU1_7750_7560+JU2_6410_6640"
"13","JU2_7140_7330",2013000,162,169.06,-4.358,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190+JL1_7170_6800+JL1_7190_7250+JL1_7200_7250+JL1_7530_7430+JL2_6240_6520+JL2_6440_6441+JL2_6441_6520+JL2_6850_6890+JL2_7110_7120+JL2_7120_6970+JL2_7240_7350+JL2_7250_7090+JL2_7350_7090+JL3_7020_7100+JL3_7090_7150+JL4_6520_6710+JL4_6710_6740+JL6_6740_7100+JL6_6890_6990+JL6_6960_6970+JL6_6970_6740+JL6_6990_6960+JL6_7150_6890+JL6_7160_7440+JL6_7320_7150+JL6_7430_7320+JL6_7440_7430+JL7_6800_7070+JL7_7030_6800+JL7_7070_0001+JL7_7100_7030+JU1_6290_6590+JU1_6300_6650+JU1_6340_6650+JU1_6590_6600+JU1_6880_7260+JU1_7560_7500+JU1_7630_7490+JU1_7690_7490+JU1_7750_7560+JU2_6410_6640+JU2_6600_6810+JU2_6810_6900+JU2_7140_7330"
"14","JU3_6380_6900",2011400,157,158.57,-0.9987,"JL1_6560_6440+JL1_6760_6910+JL1_6770_6850+JL1_6910_6960+JL1_6940_7200+JL1_7080_7190+JL1_7170_6800+JL1_7190_7250+JL1_7200_7250+JL1_7530_7430+JL2_6240_6520+JL2_6440_6441+JL2_6441_6520+JL2_6850_6890+JL2_7110_7120+JL2_7120_6970+JL2_7240_7350+JL2_7250_7090+JL2_7350_7090+JL3_7020_7100+JL3_7090_7150+JL4_6520_6710+JL4_6710_6740+JL6_6740_7100+JL6_6890_6990+JL6_6960_6970+JL6_6970_6740+JL6_6990_6960+JL6_7150_6890+JL6_7160_7440+JL6_7320_7150+JL6_7430_7320+JL6_7440_7430+JL7_6800_7070+JL7_7030_6800+JL7_7070_0001+JL7_7100_7030+JU1_6290_6590+JU1_6300_6650+JU1_6340_6650+JU1_6590_6600+JU1_6880_7260+JU1_7560_7500+JU1_7630_7490+JU1_7690_7490+JU1_7750_7560+JU2_6410_6640+JU2_6600_6810+JU2_6810_6900+JU2_7140_7330+JU2_7180_7380+JU2_7360_7000+JU2_7450_7360+JU3_6380_6900"
"15","PL0_5010_5130",1654000,23.9,23.94,-0.1699,"PL0_5010_5130"
"16","PL0_5750_0001",1661050,18.5,18.55,-0.2935,"EL1_5150_0001+EL0_5400_0001+EL1_5430_0001+EL1_5570_0001+EL1_6000_0001+EM2_3980_0001+EM2_4100_0001+EU1_2650_0001+EU1_2810_0001+EU2_3520_0001+EU0_3830_0001+JB0_7051_0001+JB0_7052_0001+WU0_3250_0001+PL0_4510_0001+PL1_4540_0001+PL0_5830_0001+PL1_5910_0001+RL0_6540_0001+XL0_5320_0001+JB2_7800_0001+JB1_8090_0001+PL1_5230_0001+PL0_5000_0001+PL0_5070_0001+PL0_5510_0001+PL0_5720_0001+PL0_5750_0001"
"17","PL1_4460_4780",1648000,62.2,62.4,-0.3146,"PL1_4460_4780"
"18","PL1_4540_0001",1649500,72.8,75.04,-3.0764,"EL1_5150_0001+EL0_5400_0001+EL1_5430_0001+EL1_5570_0001+EL1_6000_0001+EM2_3980_0001+EM2_4100_0001+EU1_2650_0001+EU1_2810_0001+EU2_3520_0001+EU0_3830_0001+JB0_7051_0001+JB0_7052_0001+WU0_3250_0001+PL0_4510_0001+PL1_4540_0001"
"19","PL2_5300_5630",1660920,79.9,80.21,-0.3905,"PL2_5300_5630"
"20","PM1_3510_4000",1637500,66.9,67.16,-0.3946,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000"
"21","PM1_4250_4500",1645000,101,101.83,-0.8238,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500"
"22","PM1_4430_4200",1638480,89.5,92.56,-3.4222,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200"
"23","PS0_6150_6160",1621410,10.9,11.38,-4.3899,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160"
"24","PS2_6730_6660",1626000,127,127.32,-0.2543,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660"
"25","PS3_6460_6230",1625000,373,374.71,-0.4582,"PM0_4640_4820+PM1_3120_3400+PM1_3450_3400+PM1_3510_4000+PM1_3710_4040+PM1_4000_4290+PM1_4250_4500+PM1_4430_4200+PM1_4500_4580+PM2_2860_3040+PM2_3400_3340+PM2_4860_4670+PM3_3040_3340+PM3_4660_4620+PM3_4670_4660+PM4_3340_3341+PM4_3341_4040+PM4_4040_4410+PM7_4150_4290+PM7_4200_4410+PM7_4290_4200+PM7_4410_4620+PM7_4580_4820+PM7_4620_4580+PM7_4820_0001+PS0_6150_6160+PS0_6160_6161+PS1_4790_4830+PS1_4830_5080+PS2_5550_5560+PS2_5560_5100+PS2_6420_6360+PS2_6490_6420+PS2_6660_6490+PS2_6730_6660+PS3_5100_5080+PS3_5990_6161+PS3_6161_6280+PS3_6280_6230+PS3_6460_6230"
