"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","GROUP"
"1","EL0_4560_4562","EL0_4561_4562","EL0_4562_0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","EL2_4400_4590","EL2_4590_0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"3","EL2_5110_5270","EL2_5270_0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"4","PM0_4640_4820","PM1_3120_3400","PM1_3450_3400","PM1_3510_4000","PM1_3710_4040","PM1_4000_4290","PM1_4250_4500","PM1_4430_4200","PM1_4500_4580","PM2_2860_3040","PM2_3400_3340","PM2_4860_4670","PM3_3040_3340","PM3_4660_4620","PM3_4670_4660","PM4_3340_3341","PM4_3341_4040","PM4_4040_4410","PM7_4150_4290","PM7_4200_4410","PM7_4290_4200","PM7_4410_4620","PM7_4580_4820","PM7_4620_4580","PM7_4820_0001","PS0_6150_6160","PS0_6160_6161","PS1_4790_4830","PS1_4830_5080","PS2_5550_5560","PS2_5560_5100","PS2_6420_6360","PS2_6490_6420","PS2_6660_6490","PS2_6730_6660","PS3_5100_5080","PS3_5990_6161","PS3_6161_6280","PS3_6280_6230","PS3_6460_6230","PS4_5080_4380","PS4_5840_5240","PS4_6230_6360","PS4_6360_5840","PS5_4370_4150","PS5_4380_4370","PS5_5200_4380","PS5_5240_5200","PU0_3000_3090","PU0_3601_3602","PU0_3611_3530","PU0_3751_3752","PU0_3871_3690","PU0_5620_5380","PU0_6080_5620","PU1_3030_3440","PU1_3100_3690","PU1_3170_3580","PU1_3580_3780","PU1_3850_4190","PU1_3940_3970","PU1_4190_4300","PU1_4300_4440","PU1_4760_4450","PU1_4840_4760","PU1_5380_5050","PU1_5520_5210","PU1_5820_5380","PU2_2790_3290","PU2_2840_3080","PU2_3080_3640","PU2_3090_4050","PU2_3140_3680","PU2_3180_3370","PU2_3370_4020","PU2_3630_3590","PU2_3770_3600","PU2_3900_3750","PU2_4050_4180","PU2_4160_3930","PU2_4220_3900","PU2_4340_3860","PU2_4360_4160","PU2_4720_4750","PU2_4730_4220","PU2_4750_4450","PU2_5190_4310","PU2_5700_5210","PU2_6050_5190","PU3_2510_3290","PU3_3290_3390","PU3_3390_3730","PU3_3680_3890","PU3_3860_3610","PU3_4280_3860","PU3_4450_4440","PU3_5210_5050","PU4_3780_3930","PU4_3890_3990","PU4_3970_3890","PU4_3990_3780","PU4_4210_4170","PU4_4310_4210","PU4_4440_3970","PU4_5050_4310","PU5_3930_4170","PU5_4170_4020","PU6_3440_3590","PU6_3530_3440","PU6_3590_3640","PU6_3600_3602","PU6_3602_3730","PU6_3610_3530","PU6_3640_3600","PU6_3690_3610","PU6_3730_3750","PU6_3750_3752","PU6_3752_4080","PU6_3870_3690","PU6_4020_3870","PU6_4080_4180","PU6_4180_4150",4
"5","JA0_7291_7290","JA2_7290_0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"6","JA1_7600_7570","JA1_7640_7280","JA2_7410_7470","JA2_7550_7280","JA2_7570_7480","JA4_7280_7340","JA4_7340_7470","JA4_7470_7480","JA5_7480_0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"7","JB3_6820_7053","JB3_7053_0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"8","PL1_4460_4780","PL1_4780_0001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"9","JL1_6560_6440","JL1_6760_6910","JL1_6770_6850","JL1_6910_6960","JL1_6940_7200","JL1_7080_7190","JL1_7170_6800","JL1_7190_7250","JL1_7200_7250","JL1_7530_7430","JL2_6240_6520","JL2_6440_6441","JL2_6441_6520","JL2_6850_6890","JL2_7110_7120","JL2_7120_6970","JL2_7240_7350","JL2_7250_7090","JL2_7350_7090","JL3_7020_7100","JL3_7090_7150","JL4_6520_6710","JL4_6710_6740","JL6_6740_7100","JL6_6890_6990","JL6_6960_6970","JL6_6970_6740","JL6_6990_6960","JL6_7150_6890","JL6_7160_7440","JL6_7320_7150","JL6_7430_7320","JL6_7440_7430","JL7_6800_7070","JL7_7030_6800","JL7_7070_0001","JL7_7100_7030","JU1_6290_6590","JU1_6300_6650","JU1_6340_6650","JU1_6590_6600","JU1_6880_7260","JU1_7560_7500","JU1_7630_7490","JU1_7690_7490","JU1_7750_7560","JU2_6410_6640","JU2_6600_6810","JU2_6810_6900","JU2_7140_7330","JU2_7180_7380","JU2_7360_7000","JU2_7450_7360","JU3_6380_6900","JU3_6640_6790","JU3_6650_7300","JU3_6790_7260","JU3_6900_6950","JU3_6950_7330","JU3_7400_7510","JU3_7490_7400","JU4_7000_7300","JU4_7260_7380","JU4_7330_7000","JU4_7380_7160","JU5_7300_7510","JU5_7420_7160","JU5_7500_7420","JU5_7510_7500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"10","PL0_5141_5140","PL1_5370_5470","PL2_4970_5250","PL2_5140_5360","PL2_5470_5360","PL3_5250_0001","PL3_5360_5250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
